29.50, 71.00, 66.00, 0.50, 2.00
30.00, 54.00, 56.00, 1.00, 1.00
30.00, 69.00, 65.00, 0.25, 2.00
30.25, 67.00, 64.00, 0.75, 2.00
30.50, 57.00, 58.00, 1.00, 1.00
30.50, 61.00, 60.00, 1.00, 1.00
31.00, 54.00, 56.00, 1.00, 1.00
31.00, 66.00, 63.00, 0.50, 2.00
31.50, 64.00, 62.00, 0.50, 2.00
32.00, 47.00, 52.00, 1.00, 1.00
32.00, 66.00, 63.00, 2.00, 2.00
32.50, 59.00, 59.00, 1.00, 1.00
32.50, 62.00, 61.00, 1.00, 1.00
33.00, 47.00, 52.00, 1.00, 1.00
33.50, 59.00, 59.00, 1.00, 1.00
33.50, 62.00, 61.00, 1.00, 1.00
34.00, 47.00, 52.00, 1.00, 1.00
34.50, 59.00, 59.00, 1.50, 1.00
34.50, 62.00, 61.00, 1.50, 1.00
35.00, 45.00, 51.00, 1.00, 1.00
36.00, 43.00, 50.00, 1.00, 1.00
36.50, 59.00, 59.00, 1.00, 1.00
36.50, 62.00, 61.00, 1.00, 1.00
36.50, 67.00, 64.00, 0.50, 2.00
37.00, 43.00, 50.00, 1.00, 1.00
37.00, 67.00, 64.00, 0.25, 2.00
37.25, 67.00, 64.00, 0.75, 2.00
37.50, 59.00, 59.00, 1.00, 1.00
37.50, 62.00, 61.00, 1.00, 1.00
38.00, 45.00, 51.00, 1.00, 1.00
38.00, 66.00, 63.00, 0.50, 2.00
38.50, 57.00, 58.00, 1.00, 1.00
38.50, 61.00, 60.00, 1.00, 1.00
38.50, 64.00, 62.00, 0.50, 2.00
39.00, 45.00, 51.00, 1.00, 1.00
39.00, 62.00, 61.00, 0.50, 2.00
39.50, 57.00, 58.00, 1.00, 1.00
39.50, 61.00, 60.00, 1.00, 1.00
39.50, 64.00, 62.00, 0.50, 2.00
40.00, 47.00, 52.00, 1.00, 1.00
40.00, 66.00, 63.00, 2.00, 2.00
40.50, 59.00, 59.00, 1.00, 1.00
40.50, 62.00, 61.00, 1.00, 1.00
41.00, 47.00, 52.00, 1.00, 1.00
41.50, 59.00, 59.00, 1.00, 1.00
41.50, 62.00, 61.00, 1.00, 1.00
42.00, 47.00, 52.00, 1.00, 1.00
42.50, 59.00, 59.00, 1.00, 1.00
42.50, 62.00, 61.00, 1.00, 1.00
42.50, 67.00, 64.00, 0.50, 2.00
43.00, 47.00, 52.00, 1.00, 1.00
43.00, 66.00, 63.00, 0.50, 2.00
43.50, 59.00, 59.00, 1.00, 1.00
43.50, 62.00, 61.00, 0.50, 2.00
43.50, 62.00, 61.00, 1.00, 1.00
44.00, 45.00, 51.00, 1.00, 1.00
44.00, 64.00, 62.00, 3.00, 2.00
44.50, 57.00, 58.00, 1.00, 1.00
44.50, 61.00, 60.00, 1.00, 1.00
45.00, 45.00, 51.00, 1.00, 1.00
45.50, 57.00, 58.00, 1.00, 1.00
45.50, 61.00, 60.00, 1.00, 1.00
46.00, 45.00, 51.00, 1.00, 1.00
46.50, 57.00, 58.00, 1.00, 1.00
46.50, 64.00, 62.00, 1.00, 1.00
47.00, 45.00, 51.00, 1.00, 1.00
47.50, 57.00, 58.00, 1.00, 1.00
47.50, 64.00, 62.00, 1.00, 1.00
48.00, 50.00, 54.00, 1.00, 1.00
48.50, 57.00, 58.00, 1.00, 1.00
48.50, 62.00, 61.00, 1.00, 1.00
48.50, 69.00, 65.00, 0.50, 2.00
49.00, 50.00, 54.00, 1.00, 1.00
49.00, 69.00, 65.00, 0.50, 2.00
49.50, 57.00, 58.00, 1.00, 1.00
49.50, 62.00, 61.00, 1.00, 1.00
49.50, 69.00, 65.00, 0.25, 2.00
49.75, 69.00, 65.00, 0.50, 2.00
50.00, 50.00, 54.00, 1.00, 1.00
50.25, 67.00, 64.00, 0.75, 2.00
50.50, 57.00, 58.00, 1.00, 1.00
50.50, 62.00, 61.00, 1.00, 1.00
51.00, 50.00, 54.00, 1.00, 1.00
51.00, 66.00, 63.00, 0.50, 2.00
51.50, 57.00, 58.00, 1.00, 1.00
51.50, 62.00, 61.00, 1.00, 1.00
51.50, 67.00, 64.00, 0.50, 2.00
52.00, 54.00, 56.00, 1.00, 1.00
52.00, 69.00, 65.00, 0.25, 2.00
52.25, 69.00, 65.00, 0.50, 2.00
52.50, 57.00, 58.00, 1.00, 1.00
52.50, 61.00, 60.00, 1.00, 1.00
52.75, 69.00, 65.00, 0.25, 2.00
53.00, 54.00, 56.00, 1.00, 1.00
53.00, 69.00, 65.00, 0.50, 2.00
53.50, 57.00, 58.00, 1.00, 1.00
53.50, 61.00, 60.00, 1.00, 1.00
53.50, 71.00, 66.00, 0.25, 2.00
53.75, 69.00, 65.00, 0.50, 2.00
54.00, 54.00, 56.00, 1.00, 1.00
54.25, 67.00, 64.00, 0.50, 2.00
54.50, 57.00, 58.00, 1.00, 1.00
54.50, 61.00, 60.00, 1.00, 1.00
54.75, 66.00, 63.00, 0.50, 2.00
55.00, 54.00, 56.00, 1.00, 1.00
55.25, 67.00, 64.00, 0.75, 2.00
55.50, 57.00, 58.00, 1.00, 1.00
55.50, 61.00, 60.00, 1.00, 1.00
56.00, 50.00, 54.00, 1.00, 1.00
56.00, 69.00, 65.00, 0.50, 2.00
56.50, 57.00, 58.00, 1.00, 1.00
56.50, 62.00, 61.00, 1.00, 1.00
56.50, 69.00, 65.00, 0.50, 2.00
57.00, 50.00, 54.00, 1.00, 1.00
57.00, 69.00, 65.00, 0.25, 2.00
57.25, 69.00, 65.00, 0.50, 2.00
57.50, 57.00, 58.00, 1.00, 1.00
57.50, 62.00, 61.00, 1.00, 1.00
57.75, 69.00, 65.00, 0.50, 2.00
58.00, 50.00, 54.00, 1.00, 1.00
58.25, 67.00, 64.00, 0.50, 2.00
58.50, 57.00, 58.00, 1.00, 1.00
58.50, 62.00, 61.00, 1.00, 1.00
58.75, 66.00, 63.00, 0.50, 2.00
59.00, 50.00, 54.00, 1.00, 1.00
59.25, 67.00, 64.00, 0.75, 2.00
59.50, 57.00, 58.00, 1.00, 1.00
59.50, 62.00, 61.00, 1.00, 1.00
60.00, 54.00, 56.00, 1.00, 1.00
60.00, 69.00, 65.00, 0.75, 2.00
60.50, 57.00, 58.00, 1.00, 1.00
60.50, 61.00, 60.00, 1.00, 1.00
60.75, 69.00, 65.00, 0.25, 2.00
61.00, 54.00, 56.00, 1.00, 1.00
61.00, 69.00, 65.00, 0.25, 2.00
61.25, 71.00, 66.00, 0.50, 2.00
61.50, 57.00, 58.00, 1.00, 1.00
61.50, 61.00, 60.00, 1.00, 1.00
61.75, 69.00, 65.00, 0.50, 2.00
62.00, 54.00, 56.00, 1.00, 1.00
62.25, 67.00, 64.00, 0.75, 2.00
62.50, 57.00, 58.00, 1.00, 1.00
62.50, 61.00, 60.00, 1.00, 1.00
63.00, 54.00, 56.00, 1.00, 1.00
63.00, 66.00, 63.00, 0.50, 2.00
63.50, 64.00, 62.00, 0.50, 2.00
64.00, 47.00, 52.00, 1.00, 1.00
64.00, 66.00, 63.00, 2.00, 2.00
64.50, 59.00, 59.00, 1.00, 1.00
64.50, 62.00, 61.00, 1.00, 1.00
65.00, 47.00, 52.00, 1.00, 1.00
65.50, 59.00, 59.00, 1.00, 1.00
65.50, 62.00, 61.00, 1.00, 1.00
66.00, 47.00, 52.00, 1.00, 1.00
66.50, 59.00, 59.00, 1.50, 1.00
66.50, 62.00, 61.00, 1.50, 1.00
67.00, 45.00, 51.00, 1.00, 1.00
68.00, 43.00, 50.00, 1.00, 1.00
68.50, 59.00, 59.00, 1.00, 1.00
68.50, 62.00, 61.00, 1.00, 1.00
68.50, 67.00, 64.00, 0.25, 2.00
68.75, 67.00, 64.00, 0.25, 2.00
69.00, 43.00, 50.00, 1.00, 1.00
69.00, 67.00, 64.00, 0.25, 2.00
69.25, 67.00, 64.00, 0.50, 2.00
69.50, 59.00, 59.00, 1.00, 1.00
69.50, 62.00, 61.00, 1.00, 1.00
69.75, 66.00, 63.00, 0.75, 2.00
70.00, 45.00, 51.00, 1.00, 1.00
70.50, 57.00, 58.00, 1.00, 1.00
70.50, 61.00, 60.00, 1.00, 1.00
70.50, 64.00, 62.00, 0.50, 2.00
71.00, 45.00, 51.00, 1.00, 1.00
71.00, 62.00, 61.00, 0.50, 2.00
71.50, 57.00, 58.00, 1.00, 1.00
71.50, 61.00, 60.00, 1.00, 1.00
71.50, 64.00, 62.00, 0.25, 2.00
71.75, 66.00, 63.00, 2.25, 2.00
72.00, 47.00, 52.00, 1.00, 1.00
72.50, 59.00, 59.00, 1.00, 1.00
72.50, 62.00, 61.00, 1.00, 1.00
73.00, 47.00, 52.00, 1.00, 1.00
73.50, 59.00, 59.00, 1.00, 1.00
73.50, 62.00, 61.00, 1.00, 1.00
74.00, 47.00, 52.00, 1.00, 1.00
74.50, 59.00, 59.00, 1.00, 1.00
74.50, 62.00, 61.00, 1.00, 1.00
74.50, 67.00, 64.00, 0.50, 2.00
75.00, 47.00, 52.00, 1.00, 1.00
75.00, 66.00, 63.00, 0.50, 2.00
75.50, 59.00, 59.00, 1.00, 1.00
75.50, 62.00, 61.00, 0.50, 2.00
75.50, 62.00, 61.00, 1.00, 1.00
76.00, 45.00, 51.00, 1.00, 1.00
76.00, 64.00, 62.00, 3.00, 2.00
76.50, 57.00, 58.00, 1.00, 1.00
76.50, 61.00, 60.00, 1.00, 1.00
77.00, 45.00, 51.00, 1.00, 1.00
77.50, 57.00, 58.00, 1.00, 1.00
77.50, 61.00, 60.00, 1.00, 1.00
78.00, 45.00, 51.00, 1.00, 1.00
78.50, 57.00, 58.00, 1.00, 1.00
78.50, 64.00, 62.00, 1.00, 1.00
79.00, 45.00, 51.00, 1.00, 1.00
79.50, 57.00, 58.00, 1.00, 1.00
79.50, 64.00, 62.00, 1.00, 1.00
