ontime, MNN, MPN, duration, channel
-1.00, 55.00, 57.00, 1.00, 1.00
0.00, 67.00, 64.00, 10.00, 0.00
1.00, 65.00, 63.00, 0.50, 1.00
1.50, 63.00, 62.00, 0.50, 1.00
1.50, 72.00, 67.00, 0.50, 0.00
2.00, 62.00, 61.00, 0.50, 1.00
2.00, 71.00, 66.00, 0.50, 0.00
2.00, 74.00, 68.00, 0.50, 0.00
2.50, 60.00, 60.00, 0.50, 1.00
2.50, 72.00, 67.00, 0.50, 0.00
2.50, 75.00, 69.00, 0.50, 0.00
3.00, 62.00, 61.00, 0.75, 1.00
3.00, 71.00, 66.00, 1.00, 0.00
3.00, 77.00, 70.00, 0.75, 0.00
3.75, 55.00, 57.00, 0.25, 1.00
3.75, 79.00, 71.00, 0.25, 0.00
4.00, 62.00, 61.00, 1.00, 1.00
4.00, 71.00, 66.00, 1.00, 0.00
4.00, 77.00, 70.00, 1.00, 0.00
5.00, 60.00, 60.00, 1.00, 1.00
5.00, 72.00, 67.00, 1.00, 0.00
5.00, 75.00, 69.00, 1.00, 0.00
6.00, 62.00, 61.00, 0.75, 1.00
6.00, 71.00, 66.00, 1.00, 0.00
6.00, 77.00, 70.00, 0.75, 0.00
6.75, 55.00, 57.00, 0.25, 1.00
6.75, 79.00, 71.00, 0.25, 0.00
7.00, 62.00, 61.00, 1.00, 1.00
7.00, 71.00, 66.00, 1.00, 0.00
7.00, 77.00, 70.00, 1.00, 0.00
8.00, 60.00, 60.00, 1.00, 1.00
8.00, 72.00, 67.00, 1.00, 0.00
8.00, 75.00, 69.00, 1.00, 0.00
10.00, 59.00, 59.00, 0.50, 0.00
10.50, 60.00, 60.00, 0.50, 0.00
11.00, 62.00, 61.00, 0.50, 0.00
11.50, 63.00, 62.00, 0.50, 0.00
12.00, 62.00, 61.00, 9.00, 0.00
13.00, 60.00, 60.00, 0.50, 1.00
13.50, 58.00, 59.00, 0.50, 1.00
13.50, 67.00, 64.00, 0.50, 0.00
14.00, 57.00, 58.00, 0.50, 1.00
14.00, 66.00, 63.00, 0.50, 0.00
14.00, 69.00, 65.00, 0.50, 0.00
14.50, 55.00, 57.00, 0.50, 1.00
14.50, 67.00, 64.00, 0.50, 0.00
14.50, 70.00, 66.00, 0.50, 0.00
15.00, 57.00, 58.00, 0.75, 1.00
15.00, 66.00, 63.00, 1.00, 0.00
15.00, 72.00, 67.00, 0.75, 0.00
15.75, 50.00, 54.00, 0.25, 1.00
15.75, 74.00, 68.00, 0.25, 0.00
16.00, 57.00, 58.00, 1.00, 1.00
16.00, 66.00, 63.00, 1.00, 0.00
16.00, 72.00, 67.00, 1.00, 0.00
17.00, 55.00, 57.00, 1.00, 1.00
17.00, 67.00, 64.00, 1.00, 0.00
17.00, 70.00, 66.00, 1.00, 0.00
18.00, 57.00, 58.00, 0.75, 1.00
18.00, 66.00, 63.00, 1.00, 0.00
18.00, 72.00, 67.00, 0.75, 0.00
18.75, 50.00, 54.00, 0.25, 1.00
18.75, 74.00, 68.00, 0.25, 0.00
19.00, 57.00, 58.00, 1.00, 1.00
19.00, 66.00, 63.00, 1.00, 0.00
19.00, 72.00, 67.00, 1.00, 0.00
20.00, 55.00, 57.00, 13.50, 1.00
20.00, 67.00, 64.00, 1.00, 0.00
20.00, 70.00, 66.00, 1.00, 0.00
21.00, 60.00, 60.00, 3.00, 1.00
21.00, 63.00, 62.00, 3.00, 0.00
21.00, 68.00, 65.00, 2.00, 0.00
23.00, 66.00, 63.00, 1.00, 0.00
24.00, 59.00, 59.00, 1.50, 0.00
24.00, 62.00, 61.00, 1.50, 0.00
24.00, 67.00, 64.00, 1.50, 0.00
25.00, 53.00, 56.00, 0.50, 1.00
25.50, 51.00, 55.00, 0.50, 1.00
25.50, 60.00, 60.00, 0.50, 0.00
26.00, 50.00, 54.00, 0.50, 1.00
26.00, 59.00, 59.00, 0.50, 0.00
26.00, 62.00, 61.00, 0.50, 0.00
26.50, 48.00, 53.00, 0.50, 1.00
26.50, 60.00, 60.00, 0.50, 0.00
26.50, 63.00, 62.00, 0.50, 0.00
27.00, 50.00, 54.00, 0.75, 1.00
27.00, 59.00, 59.00, 1.00, 0.00
27.00, 65.00, 63.00, 0.75, 0.00
27.75, 43.00, 50.00, 0.25, 1.00
27.75, 67.00, 64.00, 0.25, 0.00
28.00, 50.00, 54.00, 1.00, 1.00
28.00, 59.00, 59.00, 1.00, 0.00
28.00, 65.00, 63.00, 1.00, 0.00
29.00, 48.00, 53.00, 1.00, 1.00
29.00, 60.00, 60.00, 1.00, 0.00
29.00, 63.00, 62.00, 1.00, 0.00
30.00, 50.00, 54.00, 0.75, 1.00
30.00, 59.00, 59.00, 1.00, 0.00
30.00, 65.00, 63.00, 0.75, 0.00
30.75, 43.00, 50.00, 0.25, 1.00
30.75, 67.00, 64.00, 0.25, 0.00
31.00, 50.00, 54.00, 1.00, 1.00
31.00, 59.00, 59.00, 1.00, 0.00
31.00, 65.00, 63.00, 1.00, 0.00
32.00, 48.00, 53.00, 1.00, 1.00
32.00, 60.00, 60.00, 1.00, 0.00
32.00, 63.00, 62.00, 1.00, 0.00
33.50, 48.00, 53.00, 0.50, 1.00
34.00, 47.00, 52.00, 0.50, 1.00
34.50, 48.00, 53.00, 0.50, 1.00
35.00, 50.00, 54.00, 0.50, 1.00
35.50, 51.00, 55.00, 0.50, 1.00
36.00, 50.00, 54.00, 0.50, 1.00
36.50, 49.00, 53.00, 0.50, 1.00
36.50, 52.00, 55.00, 0.50, 1.00
37.00, 48.00, 53.00, 0.50, 1.00
37.00, 54.00, 56.00, 0.50, 1.00
37.50, 46.00, 52.00, 0.50, 1.00
37.50, 55.00, 57.00, 0.50, 1.00
38.00, 45.00, 51.00, 0.50, 1.00
38.00, 54.00, 56.00, 0.50, 1.00
38.00, 57.00, 58.00, 0.50, 1.00
38.50, 43.00, 50.00, 0.50, 1.00
38.50, 55.00, 57.00, 0.50, 1.00
38.50, 58.00, 59.00, 0.50, 1.00
39.00, 45.00, 51.00, 0.75, 1.00
39.00, 53.00, 56.00, 0.50, 1.00
39.00, 57.00, 58.00, 0.50, 1.00
39.75, 32.00, 44.00, 0.25, 1.00
39.75, 52.00, 55.00, 0.25, 1.00
39.75, 61.00, 60.00, 0.25, 0.00
40.00, 38.00, 47.00, 2.00, 1.00
40.00, 50.00, 54.00, 2.00, 1.00
40.00, 62.00, 61.00, 2.00, 0.00
42.00, 50.00, 54.00, 11.00, 1.00
42.00, 57.00, 58.00, 0.50, 1.00
42.00, 65.00, 63.00, 0.50, 0.00
42.00, 69.00, 65.00, 0.50, 0.00
42.75, 55.00, 57.00, 0.25, 1.00
42.75, 64.00, 62.00, 0.25, 0.00
42.75, 73.00, 67.00, 0.25, 0.00
43.00, 53.00, 56.00, 2.00, 1.00
43.00, 62.00, 61.00, 2.00, 0.00
43.00, 74.00, 68.00, 2.00, 0.00
45.00, 57.00, 58.00, 0.50, 1.00
45.00, 65.00, 63.00, 0.50, 0.00
45.00, 69.00, 65.00, 0.50, 0.00
45.75, 55.00, 57.00, 0.25, 1.00
45.75, 64.00, 62.00, 0.25, 0.00
45.75, 73.00, 67.00, 0.25, 0.00
46.00, 53.00, 56.00, 2.00, 1.00
46.00, 62.00, 61.00, 7.00, 0.00
46.00, 74.00, 68.00, 2.00, 0.00
48.00, 57.00, 58.00, 0.50, 1.00
48.00, 69.00, 65.00, 0.50, 0.00
48.50, 60.00, 60.00, 0.50, 1.00
48.50, 72.00, 67.00, 0.50, 0.00
49.00, 58.00, 59.00, 1.00, 1.00
49.00, 70.00, 66.00, 1.00, 0.00
50.00, 57.00, 58.00, 0.50, 1.00
50.00, 69.00, 65.00, 0.50, 0.00
50.50, 55.00, 57.00, 0.50, 1.00
50.50, 67.00, 64.00, 0.50, 0.00
51.00, 57.00, 58.00, 0.75, 1.00
