ontime, MNN, MPN, duration, channel
0.00, 39.00, 48.00, 2.50, 1.00
0.00, 51.00, 55.00, 1.00, 1.00
0.00, 55.00, 57.00, 1.00, 0.00
0.00, 61.00, 61.00, 1.00, 0.00
0.00, 63.00, 62.00, 1.00, 0.00
1.00, 51.00, 55.00, 2.00, 1.00
1.00, 56.00, 58.00, 2.00, 0.00
1.00, 61.00, 61.00, 2.00, 0.00
1.00, 65.00, 63.00, 2.00, 0.00
2.50, 38.00, 47.00, 0.50, 1.00
3.00, 39.00, 48.00, 2.50, 1.00
3.00, 51.00, 55.00, 1.00, 1.00
3.00, 55.00, 57.00, 1.00, 0.00
3.00, 61.00, 61.00, 1.00, 0.00
3.00, 63.00, 62.00, 1.00, 0.00
4.00, 51.00, 55.00, 2.00, 1.00
4.00, 55.00, 57.00, 2.00, 0.00
4.00, 61.00, 61.00, 2.00, 0.00
4.00, 67.00, 64.00, 2.00, 0.00
5.50, 38.00, 47.00, 0.50, 1.00
6.00, 39.00, 48.00, 2.50, 1.00
6.00, 51.00, 55.00, 1.00, 1.00
6.00, 55.00, 57.00, 1.00, 0.00
6.00, 61.00, 61.00, 1.00, 0.00
6.00, 63.00, 62.00, 1.00, 0.00
7.00, 51.00, 55.00, 2.00, 1.00
7.00, 56.00, 58.00, 2.00, 0.00
7.00, 61.00, 61.00, 2.00, 0.00
7.00, 65.00, 63.00, 2.00, 0.00
8.50, 38.00, 47.00, 0.50, 1.00
9.00, 39.00, 48.00, 2.50, 1.00
9.00, 51.00, 55.00, 1.00, 1.00
9.00, 55.00, 57.00, 1.00, 0.00
9.00, 61.00, 61.00, 1.00, 0.00
9.00, 63.00, 62.00, 1.00, 0.00
10.00, 51.00, 55.00, 2.00, 1.00
10.00, 55.00, 57.00, 2.00, 0.00
10.00, 61.00, 61.00, 2.00, 0.00
10.00, 70.00, 66.00, 2.00, 0.00
11.50, 38.00, 47.00, 0.50, 1.00
12.00, 39.00, 48.00, 2.50, 1.00
12.00, 51.00, 55.00, 1.00, 1.00
12.00, 55.00, 57.00, 1.00, 0.00
12.00, 61.00, 61.00, 1.00, 0.00
12.00, 63.00, 62.00, 1.00, 0.00
13.00, 51.00, 55.00, 2.00, 1.00
13.00, 56.00, 58.00, 2.00, 0.00
13.00, 61.00, 61.00, 2.00, 0.00
13.00, 65.00, 63.00, 2.00, 0.00
14.50, 38.00, 47.00, 0.50, 1.00
15.00, 39.00, 48.00, 1.00, 1.00
15.00, 51.00, 55.00, 1.00, 1.00
15.00, 55.00, 57.00, 1.00, 0.00
15.00, 61.00, 61.00, 1.00, 0.00
15.00, 63.00, 62.00, 1.00, 0.00
16.00, 51.00, 55.00, 2.00, 1.00
16.00, 58.00, 59.00, 2.00, 1.00
16.00, 67.00, 64.00, 2.00, 0.00
16.00, 73.00, 68.00, 2.00, 0.00
18.00, 51.00, 55.00, 1.00, 1.00
18.00, 63.00, 62.00, 1.00, 1.00
18.00, 67.00, 64.00, 1.00, 0.00
18.00, 72.00, 67.00, 1.00, 0.00
19.00, 51.00, 55.00, 5.00, 1.00
19.00, 61.00, 61.00, 5.00, 1.00
19.00, 67.00, 64.00, 4.00, 0.00
19.00, 70.00, 66.00, 4.00, 0.00
23.00, 71.00, 66.00, 1.00, 0.00
24.00, 44.00, 51.00, 1.00, 1.00
24.00, 72.00, 67.00, 0.50, 0.00
24.50, 73.00, 68.00, 0.50, 0.00
25.00, 51.00, 55.00, 1.00, 1.00
25.00, 60.00, 60.00, 1.00, 1.00
25.00, 68.00, 65.00, 1.00, 1.00
25.00, 75.00, 69.00, 1.50, 0.00
26.50, 77.00, 70.00, 0.50, 0.00
27.00, 39.00, 48.00, 1.00, 1.00
27.00, 75.00, 69.00, 0.50, 0.00
27.50, 74.00, 68.00, 0.50, 0.00
28.00, 61.00, 61.00, 1.00, 1.00
28.00, 67.00, 64.00, 1.00, 1.00
28.00, 73.00, 68.00, 1.50, 0.00
29.00, 61.00, 61.00, 1.00, 1.00
29.00, 67.00, 64.00, 1.00, 1.00
29.50, 72.00, 67.00, 0.50, 0.00
30.00, 51.00, 55.00, 1.00, 1.00
30.00, 70.00, 66.00, 0.50, 0.00
30.50, 69.00, 65.00, 0.50, 0.00
31.00, 61.00, 61.00, 1.00, 1.00
31.00, 63.00, 62.00, 1.00, 1.00
31.00, 70.00, 66.00, 0.50, 0.00
31.50, 72.00, 67.00, 0.50, 0.00
32.00, 61.00, 61.00, 1.00, 1.00
32.00, 63.00, 62.00, 1.00, 1.00
32.00, 67.00, 64.00, 1.00, 0.00
33.00, 44.00, 51.00, 1.00, 1.00
