ontime, MNN, MPN, duration, channel
-1.00, 63.00, 62.00, 1.00, 0.00
0.00, 32.00, 44.00, 1.00, 1.00
0.00, 68.00, 65.00, 0.50, 0.00
0.50, 72.00, 67.00, 0.50, 0.00
1.00, 51.00, 55.00, 1.00, 1.00
1.00, 60.00, 60.00, 1.00, 1.00
1.00, 63.00, 62.00, 1.00, 1.00
1.00, 75.00, 69.00, 0.50, 0.00
1.50, 76.00, 69.00, 0.50, 0.00
2.00, 51.00, 55.00, 1.00, 1.00
2.00, 61.00, 61.00, 1.00, 1.00
2.00, 63.00, 62.00, 1.00, 1.00
2.00, 77.00, 70.00, 0.50, 0.00
2.50, 67.00, 64.00, 0.50, 0.00
3.00, 44.00, 51.00, 1.00, 1.00
3.00, 68.00, 65.00, 0.50, 0.00
3.50, 72.00, 67.00, 0.50, 0.00
4.00, 56.00, 58.00, 1.00, 1.00
4.00, 60.00, 60.00, 1.00, 1.00
4.00, 66.00, 64.00, 1.00, 1.00
4.00, 75.00, 69.00, 0.50, 0.00
4.50, 74.00, 68.00, 0.50, 0.00
5.00, 56.00, 58.00, 1.00, 1.00
5.00, 60.00, 60.00, 1.00, 1.00
5.00, 66.00, 64.00, 1.00, 1.00
5.00, 75.00, 69.00, 1.00, 0.00
6.00, 49.00, 54.00, 1.00, 1.00
6.00, 73.00, 68.00, 0.50, 0.00
6.50, 77.00, 70.00, 0.50, 0.00
7.00, 56.00, 58.00, 1.00, 1.00
7.00, 61.00, 61.00, 1.00, 1.00
7.00, 65.00, 63.00, 1.00, 1.00
7.00, 79.00, 71.00, 0.50, 0.00
7.50, 82.00, 73.00, 0.50, 0.00
8.00, 56.00, 58.00, 1.00, 1.00
8.00, 61.00, 61.00, 1.00, 1.00
8.00, 65.00, 63.00, 1.00, 1.00
8.00, 80.00, 72.00, 0.50, 0.00
8.50, 77.00, 70.00, 0.50, 0.00
9.00, 46.00, 52.00, 1.00, 1.00
9.00, 73.00, 68.00, 0.50, 0.00
9.50, 76.00, 69.00, 0.50, 0.00
10.00, 56.00, 58.00, 1.00, 1.00
10.00, 61.00, 61.00, 1.00, 1.00
10.00, 65.00, 63.00, 1.00, 1.00
10.00, 77.00, 70.00, 0.50, 0.00
10.50, 76.00, 69.00, 0.50, 0.00
11.00, 56.00, 58.00, 1.00, 1.00
11.00, 61.00, 61.00, 1.00, 1.00
11.00, 65.00, 63.00, 1.00, 1.00
11.00, 77.00, 70.00, 1.00, 0.00
12.00, 51.00, 55.00, 1.00, 1.00
12.00, 67.00, 64.00, 0.50, 0.00
12.50, 68.00, 65.00, 0.50, 0.00
13.00, 55.00, 57.00, 1.00, 1.00
13.00, 61.00, 61.00, 1.00, 1.00
13.00, 63.00, 62.00, 1.00, 1.00
13.00, 70.00, 66.00, 0.50, 0.00
13.50, 72.00, 67.00, 0.50, 0.00
14.00, 55.00, 57.00, 1.00, 1.00
14.00, 61.00, 61.00, 1.00, 1.00
14.00, 63.00, 62.00, 1.00, 1.00
14.00, 73.00, 68.00, 0.50, 0.00
14.50, 71.00, 66.00, 0.50, 0.00
15.00, 44.00, 51.00, 1.00, 1.00
15.00, 72.00, 67.00, 0.50, 0.00
15.75, 62.00, 61.00, 0.25, 0.00
16.00, 51.00, 55.00, 1.00, 1.00
16.00, 56.00, 58.00, 1.00, 1.00
16.00, 60.00, 60.00, 1.00, 1.00
16.00, 63.00, 62.00, 0.50, 0.00
16.50, 62.00, 61.00, 0.50, 0.00
17.00, 51.00, 55.00, 1.00, 1.00
17.00, 56.00, 58.00, 1.00, 1.00
17.00, 60.00, 60.00, 1.00, 1.00
17.00, 63.00, 62.00, 1.00, 0.00
18.00, 39.00, 48.00, 1.00, 1.00
18.00, 67.00, 64.00, 0.50, 0.00
18.00, 70.00, 66.00, 0.50, 0.00
18.50, 68.00, 65.00, 0.50, 0.00
18.50, 72.00, 67.00, 0.50, 0.00
19.00, 51.00, 55.00, 1.00, 1.00
19.00, 55.00, 57.00, 1.00, 1.00
19.00, 61.00, 61.00, 1.00, 1.00
19.00, 63.00, 62.00, 1.00, 1.00
19.00, 70.00, 66.00, 0.50, 0.00
19.00, 73.00, 68.00, 0.50, 0.00
19.50, 72.00, 67.00, 0.50, 0.00
19.50, 75.00, 69.00, 0.50, 0.00
20.00, 51.00, 55.00, 1.00, 1.00
20.00, 55.00, 57.00, 1.00, 1.00
20.00, 61.00, 61.00, 1.00, 1.00
20.00, 63.00, 62.00, 1.00, 1.00
20.00, 73.00, 68.00, 0.50, 0.00
20.00, 77.00, 70.00, 0.50, 0.00
20.50, 71.00, 66.00, 0.50, 0.00
20.50, 74.00, 68.00, 0.50, 0.00
21.00, 44.00, 51.00, 1.00, 1.00
21.00, 72.00, 67.00, 0.50, 0.00
21.00, 75.00, 69.00, 0.50, 0.00
21.75, 62.00, 61.00, 0.25, 0.00
22.00, 51.00, 55.00, 1.00, 1.00
22.00, 56.00, 58.00, 1.00, 1.00
