ontime, MNN, MPN, duration, channel
-1.00, 72.00, 67.00, 1.75, 0.00
0.00, 55.00, 57.00, 1.00, 1.00
0.00, 61.00, 61.00, 1.00, 1.00
0.00, 64.00, 63.00, 1.00, 1.00
0.75, 70.00, 66.00, 0.25, 0.00
1.00, 56.00, 58.00, 1.00, 1.00
1.00, 60.00, 60.00, 2.00, 1.00
1.00, 63.00, 62.00, 2.00, 1.00
1.00, 68.00, 65.00, 0.50, 0.00
1.50, 70.00, 66.00, 0.50, 0.00
2.00, 51.00, 55.00, 1.00, 1.00
2.00, 72.00, 67.00, 1.75, 0.00
3.00, 55.00, 57.00, 1.00, 1.00
3.00, 61.00, 61.00, 1.00, 1.00
3.00, 64.00, 63.00, 1.00, 1.00
3.75, 70.00, 66.00, 0.25, 0.00
4.00, 56.00, 58.00, 1.00, 1.00
4.00, 60.00, 60.00, 2.00, 1.00
4.00, 63.00, 62.00, 2.00, 1.00
4.00, 68.00, 65.00, 0.50, 0.00
4.50, 77.00, 70.00, 0.50, 0.00
5.00, 51.00, 55.00, 1.00, 1.00
5.00, 75.00, 69.00, 1.00, 0.00
6.00, 55.00, 57.00, 1.00, 1.00
6.00, 61.00, 61.00, 1.00, 1.00
6.00, 64.00, 63.00, 1.00, 1.00
6.00, 72.00, 67.00, 0.75, 0.00
6.75, 70.00, 66.00, 0.25, 0.00
7.00, 56.00, 58.00, 1.00, 1.00
7.00, 60.00, 60.00, 2.00, 1.00
7.00, 63.00, 62.00, 2.00, 1.00
7.00, 68.00, 65.00, 0.50, 0.00
7.50, 70.00, 66.00, 0.50, 0.00
8.00, 51.00, 55.00, 1.00, 1.00
8.00, 72.00, 67.00, 1.00, 0.00
9.00, 56.00, 58.00, 0.75, 1.00
9.00, 61.00, 61.00, 3.00, 1.00
9.00, 63.00, 62.00, 3.00, 0.00
9.75, 55.00, 57.00, 0.25, 1.00
10.00, 53.00, 56.00, 0.50, 1.00
10.50, 55.00, 57.00, 0.50, 1.00
11.00, 51.00, 55.00, 1.00, 1.00
12.00, 55.00, 57.00, 1.00, 1.00
12.00, 61.00, 61.00, 1.00, 1.00
12.00, 64.00, 63.00, 1.00, 1.00
12.00, 72.00, 67.00, 0.75, 0.00
12.75, 70.00, 66.00, 0.25, 0.00
13.00, 56.00, 58.00, 1.00, 1.00
13.00, 60.00, 60.00, 2.00, 1.00
13.00, 63.00, 62.00, 2.00, 1.00
13.00, 68.00, 65.00, 0.50, 0.00
13.50, 70.00, 66.00, 0.50, 0.00
14.00, 51.00, 55.00, 1.00, 1.00
14.00, 72.00, 67.00, 1.75, 0.00
15.00, 55.00, 57.00, 1.00, 1.00
15.00, 61.00, 61.00, 1.00, 1.00
15.00, 64.00, 63.00, 1.00, 1.00
15.75, 70.00, 66.00, 0.25, 0.00
16.00, 56.00, 58.00, 2.00, 1.00
16.00, 60.00, 60.00, 1.00, 1.00
16.00, 63.00, 62.00, 2.00, 1.00
16.00, 68.00, 65.00, 0.50, 0.00
16.00, 68.00, 65.00, 2.00, 0.00
16.50, 79.00, 71.00, 0.50, 0.00
