ontime, MNN, MPN, duration, channel
-1.00, 67.00, 64.00, 1.50, 0.00
0.50, 68.00, 65.00, 0.50, 0.00
1.00, 55.00, 57.00, 1.00, 1.00
1.00, 62.00, 61.00, 1.00, 1.00
1.00, 67.00, 64.00, 0.50, 0.00
1.00, 67.00, 64.00, 1.00, 0.00
1.50, 71.00, 66.00, 0.50, 0.00
2.00, 55.00, 57.00, 1.00, 1.00
2.00, 62.00, 61.00, 1.00, 1.00
2.00, 65.00, 63.00, 1.00, 0.00
2.00, 72.00, 67.00, 0.50, 0.00
2.50, 74.00, 68.00, 0.50, 0.00
3.00, 75.00, 69.00, 0.50, 0.00
3.50, 74.00, 68.00, 0.50, 0.00
4.00, 48.00, 53.00, 1.00, 1.00
4.00, 55.00, 57.00, 1.00, 1.00
4.00, 63.00, 62.00, 1.00, 0.00
4.00, 72.00, 67.00, 2.00, 0.00
5.00, 48.00, 53.00, 1.00, 1.00
5.00, 55.00, 57.00, 1.00, 1.00
5.00, 63.00, 62.00, 1.00, 0.00
6.00, 74.00, 68.00, 0.50, 0.00
6.50, 75.00, 69.00, 0.50, 0.00
7.00, 48.00, 53.00, 1.00, 1.00
7.00, 55.00, 57.00, 1.00, 1.00
7.00, 59.00, 59.00, 1.00, 1.00
7.00, 65.00, 63.00, 1.00, 0.00
7.00, 77.00, 70.00, 1.00, 0.00
8.00, 48.00, 53.00, 1.00, 1.00
8.00, 55.00, 57.00, 1.00, 1.00
8.00, 62.00, 61.00, 1.00, 1.00
8.00, 65.00, 63.00, 1.00, 0.00
8.00, 75.00, 69.00, 0.50, 0.00
8.50, 74.00, 68.00, 0.50, 0.00
9.00, 74.00, 68.00, 0.50, 0.00
9.50, 75.00, 69.00, 0.50, 0.00
10.00, 48.00, 53.00, 1.00, 1.00
10.00, 55.00, 57.00, 1.00, 1.00
10.00, 60.00, 60.00, 1.00, 1.00
10.00, 63.00, 62.00, 1.00, 0.00
10.00, 72.00, 67.00, 2.00, 0.00
11.00, 48.00, 53.00, 1.00, 1.00
11.00, 55.00, 57.00, 1.00, 1.00
11.00, 60.00, 60.00, 1.00, 1.00
11.00, 63.00, 62.00, 1.00, 0.00
12.00, 62.00, 61.00, 0.50, 0.00
12.50, 63.00, 62.00, 0.50, 0.00
13.00, 50.00, 54.00, 1.00, 1.00
13.00, 57.00, 58.00, 1.00, 1.00
13.00, 62.00, 61.00, 0.50, 0.00
13.00, 62.00, 61.00, 1.00, 0.00
13.50, 66.00, 63.00, 0.50, 0.00
14.00, 50.00, 54.00, 1.00, 1.00
14.00, 57.00, 58.00, 1.00, 1.00
14.00, 60.00, 60.00, 1.00, 0.00
14.00, 67.00, 64.00, 0.50, 0.00
14.50, 69.00, 65.00, 0.50, 0.00
15.00, 70.00, 66.00, 0.50, 0.00
15.50, 69.00, 65.00, 0.50, 0.00
16.00, 43.00, 50.00, 1.00, 1.00
16.00, 55.00, 57.00, 3.00, 1.00
16.00, 58.00, 59.00, 1.00, 0.00
16.00, 67.00, 64.00, 2.00, 0.00
17.00, 46.00, 52.00, 1.00, 1.00
17.00, 62.00, 61.00, 1.00, 0.00
18.00, 48.00, 53.00, 1.00, 1.00
18.00, 69.00, 65.00, 0.50, 0.00
18.50, 70.00, 66.00, 0.50, 0.00
19.00, 45.00, 51.00, 1.00, 1.00
19.00, 57.00, 58.00, 1.00, 1.00
19.00, 63.00, 62.00, 1.00, 0.00
19.00, 67.00, 64.00, 1.00, 0.00
19.00, 72.00, 67.00, 1.00, 0.00
20.00, 50.00, 54.00, 1.00, 1.00
20.00, 60.00, 60.00, 1.00, 0.00
20.00, 66.00, 63.00, 1.00, 0.00
20.00, 70.00, 66.00, 0.50, 0.00
20.50, 69.00, 65.00, 0.50, 0.00
21.00, 67.00, 64.00, 3.50, 0.00
22.00, 43.00, 50.00, 1.00, 1.00
