ontime, MNN, MPN, duration, channel
-1.00, 69.00, 65.00, 1.50, 0.00
0.00, 38.00, 47.00, 1.00, 1.00
0.75, 66.00, 63.00, 0.25, 0.00
1.00, 50.00, 54.00, 1.00, 1.00
1.00, 57.00, 58.00, 1.00, 1.00
1.00, 60.00, 60.00, 1.00, 1.00
1.00, 62.00, 61.00, 1.00, 0.00
2.00, 50.00, 54.00, 1.00, 1.00
2.00, 57.00, 58.00, 1.00, 1.00
2.00, 60.00, 60.00, 1.00, 1.00
2.00, 62.00, 61.00, 1.00, 1.00
2.00, 66.00, 63.00, 1.00, 0.00
3.00, 43.00, 50.00, 1.00, 1.00
3.00, 67.00, 64.00, 2.00, 0.00
4.00, 55.00, 57.00, 1.00, 1.00
4.00, 58.00, 59.00, 1.00, 1.00
4.00, 62.00, 61.00, 1.00, 1.00
5.00, 55.00, 57.00, 1.00, 1.00
5.00, 58.00, 59.00, 1.00, 1.00
5.00, 62.00, 61.00, 1.00, 1.00
5.00, 69.00, 65.00, 0.50, 0.00
5.50, 70.00, 66.00, 0.50, 0.00
6.00, 72.00, 67.00, 0.50, 0.00
6.75, 74.00, 68.00, 0.25, 0.00
7.00, 55.00, 57.00, 1.00, 1.00
7.00, 60.00, 60.00, 1.00, 1.00
7.00, 63.00, 62.00, 1.00, 1.00
7.00, 67.00, 64.00, 1.00, 1.00
7.00, 75.00, 69.00, 1.00, 0.00
8.00, 55.00, 57.00, 1.00, 1.00
8.00, 60.00, 60.00, 1.00, 1.00
8.00, 63.00, 62.00, 1.00, 1.00
8.00, 69.00, 65.00, 1.00, 1.00
8.00, 78.00, 70.00, 1.00, 0.00
9.00, 70.00, 66.00, 3.00, 0.00
9.00, 79.00, 71.00, 0.50, 0.00
9.50, 74.00, 68.00, 1.50, 0.00
10.00, 55.00, 57.00, 1.00, 1.00
10.00, 62.00, 61.00, 1.00, 1.00
11.00, 55.00, 57.00, 1.00, 1.00
11.00, 62.00, 61.00, 1.00, 1.00
12.00, 38.00, 47.00, 1.00, 1.00
12.00, 69.00, 65.00, 0.50, 0.00
12.75, 66.00, 63.00, 0.25, 0.00
13.00, 50.00, 54.00, 1.00, 1.00
13.00, 57.00, 58.00, 1.00, 1.00
13.00, 60.00, 60.00, 1.00, 1.00
