ontime, MNN, MPN, duration, channel
-1.00, 80.00, 71.00, 2.00, 0.00
1.00, 80.00, 71.00, 0.50, 0.00
1.50, 83.00, 73.00, 0.50, 0.00
2.00, 81.00, 72.00, 0.50, 0.00
2.50, 80.00, 71.00, 0.50, 0.00
3.00, 79.00, 70.00, 0.50, 0.00
3.50, 75.00, 68.00, 0.50, 0.00
4.00, 80.00, 71.00, 1.50, 0.00
5.00, 68.00, 64.00, 2.00, 1.00
5.00, 72.00, 66.00, 1.00, 0.00
5.50, 78.00, 70.00, 0.50, 0.00
6.00, 73.00, 67.00, 4.00, 0.00
6.00, 76.00, 69.00, 3.00, 0.00
7.00, 68.00, 64.00, 0.50, 1.00
7.50, 71.00, 66.00, 0.50, 1.00
8.00, 69.00, 65.00, 0.50, 1.00
8.50, 68.00, 64.00, 0.50, 1.00
9.00, 67.00, 63.00, 0.50, 1.00
9.00, 75.00, 68.00, 3.00, 0.00
9.50, 63.00, 61.00, 0.50, 1.00
10.00, 68.00, 64.00, 1.50, 1.00
10.00, 72.00, 66.00, 2.00, 0.00
11.00, 56.00, 57.00, 1.00, 1.00
11.50, 66.00, 63.00, 0.50, 1.00
12.00, 61.00, 60.00, 1.00, 1.00
12.00, 64.00, 62.00, 1.00, 1.00
12.00, 73.00, 67.00, 1.00, 0.00
13.00, 75.00, 68.00, 0.50, 0.00
13.50, 78.00, 70.00, 0.50, 0.00
14.00, 76.00, 69.00, 0.50, 0.00
14.50, 75.00, 68.00, 0.50, 0.00
15.00, 73.00, 67.00, 0.50, 0.00
15.50, 70.00, 65.00, 0.50, 0.00
16.00, 75.00, 68.00, 1.50, 0.00
17.00, 63.00, 61.00, 2.00, 1.00
17.00, 67.00, 63.00, 1.00, 0.00
17.50, 73.00, 67.00, 0.50, 0.00
18.00, 68.00, 64.00, 4.00, 0.00
18.00, 71.00, 66.00, 3.00, 0.00
19.00, 63.00, 61.00, 0.50, 1.00
19.50, 66.00, 63.00, 0.50, 1.00
20.00, 64.00, 62.00, 0.50, 1.00
20.50, 63.00, 61.00, 0.50, 1.00
21.00, 61.00, 60.00, 0.50, 1.00
21.00, 70.00, 65.00, 3.00, 0.00
21.50, 58.00, 58.00, 0.50, 1.00
22.00, 63.00, 61.00, 1.50, 1.00
22.00, 67.00, 63.00, 2.00, 0.00
23.00, 51.00, 54.00, 1.00, 1.00
23.50, 61.00, 60.00, 0.50, 1.00
24.00, 44.00, 50.00, 1.00, 1.00
24.00, 60.00, 59.00, 0.50, 0.00
24.00, 66.00, 63.00, 0.50, 0.00
24.00, 72.00, 66.00, 0.50, 0.00
24.50, 73.00, 67.00, 0.50, 0.00
25.00, 75.00, 68.00, 0.50, 0.00
25.50, 76.00, 69.00, 0.50, 0.00
26.00, 78.00, 70.00, 0.50, 0.00
26.50, 80.00, 71.00, 0.50, 0.00
27.00, 81.00, 72.00, 0.33, 0.00
27.33, 83.00, 73.00, 0.33, 0.00
27.67, 81.00, 72.00, 0.33, 0.00
28.00, 56.00, 57.00, 1.00, 1.00
28.00, 60.00, 59.00, 1.00, 1.00
28.00, 66.00, 63.00, 2.00, 1.00
28.00, 78.00, 70.00, 0.50, 0.00
28.50, 76.00, 69.00, 0.50, 0.00
