ontime, MNN, MPN, duration, channel
-1.00, 66.00, 63.00, 1.33, 0.00
0.00, 37.00, 46.00, 1.00, 1.00
0.33, 68.00, 64.00, 0.33, 0.00
0.67, 66.00, 63.00, 0.33, 0.00
1.00, 49.00, 53.00, 1.00, 1.00
1.00, 56.00, 57.00, 1.00, 1.00
1.00, 59.00, 59.00, 1.00, 1.00
1.00, 65.00, 62.00, 0.50, 0.00
1.50, 66.00, 63.00, 0.50, 0.00
2.00, 49.00, 53.00, 1.00, 1.00
2.00, 53.00, 55.00, 1.00, 1.00
2.00, 59.00, 59.00, 1.00, 1.00
2.00, 68.00, 64.00, 0.75, 0.00
2.75, 62.00, 61.00, 0.25, 0.00
3.00, 42.00, 49.00, 1.00, 1.00
3.00, 61.00, 60.00, 0.50, 0.00
3.75, 66.00, 63.00, 0.25, 0.00
4.00, 54.00, 56.00, 1.00, 1.00
4.00, 61.00, 60.00, 1.00, 1.00
4.00, 69.00, 65.00, 1.00, 0.00
5.00, 54.00, 56.00, 1.00, 1.00
5.00, 61.00, 60.00, 1.00, 1.00
5.00, 66.00, 63.00, 2.00, 0.00
5.00, 69.00, 65.00, 1.33, 0.00
6.00, 40.00, 48.00, 1.00, 1.00
6.33, 71.00, 66.00, 0.33, 0.00
6.67, 69.00, 65.00, 0.33, 0.00
7.00, 52.00, 55.00, 1.00, 1.00
7.00, 59.00, 59.00, 1.00, 1.00
7.00, 64.00, 62.00, 1.00, 0.00
7.00, 68.00, 64.00, 0.50, 0.00
7.50, 69.00, 65.00, 0.50, 0.00
8.00, 52.00, 55.00, 2.00, 1.00
8.00, 62.00, 61.00, 2.00, 0.00
8.00, 71.00, 66.00, 0.75, 0.00
8.75, 66.00, 63.00, 0.25, 0.00
9.00, 45.00, 51.00, 1.00, 1.00
9.00, 64.00, 62.00, 0.50, 0.00
9.75, 69.00, 65.00, 0.25, 0.00
10.00, 57.00, 58.00, 1.00, 1.00
10.00, 61.00, 60.00, 1.00, 0.00
10.00, 73.00, 67.00, 1.00, 0.00
11.00, 57.00, 58.00, 1.00, 1.00
11.00, 64.00, 62.00, 1.00, 1.00
11.00, 73.00, 67.00, 1.33, 0.00
12.00, 57.00, 58.00, 1.00, 1.00
12.00, 63.00, 61.00, 2.00, 1.00
12.00, 66.00, 63.00, 2.00, 1.00
12.33, 75.00, 68.00, 0.33, 0.00
12.67, 73.00, 67.00, 0.33, 0.00
13.00, 56.00, 57.00, 2.00, 1.00
13.00, 72.00, 66.00, 0.50, 0.00
13.75, 68.00, 64.00, 0.25, 0.00
14.00, 61.00, 60.00, 1.00, 1.00
14.00, 65.00, 62.00, 1.00, 1.00
14.00, 71.00, 66.00, 1.33, 0.00
15.00, 55.00, 57.00, 1.00, 1.00
15.00, 61.00, 60.00, 2.00, 1.00
15.00, 64.00, 62.00, 2.00, 1.00
15.33, 73.00, 67.00, 0.33, 0.00
15.67, 71.00, 66.00, 0.33, 0.00
16.00, 54.00, 56.00, 2.00, 1.00
16.00, 70.00, 65.00, 0.50, 0.00
16.75, 66.00, 63.00, 0.25, 0.00
17.00, 60.00, 60.00, 1.00, 1.00
17.00, 63.00, 61.00, 1.00, 1.00
17.00, 69.00, 65.00, 1.33, 0.00
18.00, 53.00, 56.00, 1.00, 1.00
18.00, 59.00, 59.00, 2.00, 1.00
18.00, 62.00, 61.00, 2.00, 1.00
18.33, 71.00, 66.00, 0.33, 0.00
18.67, 69.00, 65.00, 0.33, 0.00
19.00, 52.00, 55.00, 2.00, 1.00
19.00, 68.00, 64.00, 0.50, 0.00
19.75, 64.00, 62.00, 0.25, 0.00
20.00, 58.00, 59.00, 1.00, 1.00
20.00, 61.00, 60.00, 1.00, 1.00
20.00, 67.00, 64.00, 1.33, 0.00
21.00, 51.00, 55.00, 1.00, 1.00
21.00, 57.00, 58.00, 2.00, 1.00
21.00, 60.00, 60.00, 2.00, 1.00
21.33, 69.00, 65.00, 0.33, 0.00
21.67, 67.00, 64.00, 0.33, 0.00
22.00, 50.00, 54.00, 2.00, 1.00
22.00, 66.00, 63.00, 0.50, 0.00
22.50, 62.00, 61.00, 0.50, 0.00
23.00, 56.00, 57.00, 1.00, 1.00
23.00, 59.00, 59.00, 1.00, 1.00
23.00, 66.00, 63.00, 1.33, 0.00
24.00, 37.00, 46.00, 1.00, 1.00
24.00, 49.00, 53.00, 1.00, 1.00
24.33, 68.00, 64.00, 0.33, 0.00
24.67, 66.00, 63.00, 0.33, 0.00
25.00, 49.00, 53.00, 1.00, 1.00
25.00, 56.00, 57.00, 1.00, 1.00
25.00, 59.00, 59.00, 1.00, 1.00
25.00, 65.00, 62.00, 0.50, 0.00
25.50, 66.00, 63.00, 0.50, 0.00
26.00, 49.00, 53.00, 1.00, 1.00
26.00, 53.00, 55.00, 1.00, 1.00
26.00, 59.00, 59.00, 1.00, 1.00
26.00, 68.00, 64.00, 0.75, 0.00
26.75, 62.00, 61.00, 0.25, 0.00
27.00, 42.00, 49.00, 1.00, 1.00
27.00, 61.00, 60.00, 0.50, 0.00
27.75, 66.00, 63.00, 0.25, 0.00
28.00, 54.00, 56.00, 1.00, 1.00
28.00, 61.00, 60.00, 1.00, 1.00
28.00, 69.00, 65.00, 1.00, 0.00
29.00, 54.00, 56.00, 1.00, 1.00
29.00, 61.00, 60.00, 1.00, 1.00
29.00, 66.00, 63.00, 2.00, 0.00
29.00, 69.00, 65.00, 1.33, 0.00
30.00, 40.00, 48.00, 1.00, 1.00
30.33, 71.00, 66.00, 0.33, 0.00
30.67, 69.00, 65.00, 0.33, 0.00
31.00, 52.00, 55.00, 1.00, 1.00
31.00, 59.00, 59.00, 1.00, 1.00
31.00, 64.00, 62.00, 1.00, 0.00
31.00, 68.00, 64.00, 0.50, 0.00
31.50, 69.00, 65.00, 0.50, 0.00
32.00, 52.00, 55.00, 2.00, 1.00
32.00, 62.00, 61.00, 2.00, 0.00
32.00, 71.00, 66.00, 0.75, 0.00
32.75, 66.00, 63.00, 0.25, 0.00
33.00, 45.00, 51.00, 1.00, 1.00
33.00, 64.00, 62.00, 0.50, 0.00
33.75, 69.00, 65.00, 0.25, 0.00
34.00, 57.00, 58.00, 1.00, 1.00
34.00, 61.00, 60.00, 1.00, 0.00
34.00, 73.00, 67.00, 1.00, 0.00
35.00, 57.00, 58.00, 2.00, 1.00
35.00, 64.00, 62.00, 1.00, 0.00
35.00, 73.00, 67.00, 1.00, 0.00
36.00, 50.00, 54.00, 1.00, 1.00
36.00, 65.00, 63.00, 1.00, 0.00
36.00, 76.00, 69.00, 0.50, 0.00
36.50, 74.00, 68.00, 0.25, 0.00
36.75, 73.00, 67.00, 0.25, 0.00
37.00, 50.00, 54.00, 1.00, 1.00
37.00, 57.00, 58.00, 1.00, 1.00
37.00, 65.00, 63.00, 1.00, 0.00
37.00, 71.00, 66.00, 1.00, 0.00
38.00, 45.00, 51.00, 1.00, 1.00
38.00, 57.00, 58.00, 2.00, 1.00
38.00, 64.00, 62.00, 1.00, 0.00
38.00, 73.00, 67.00, 1.00, 0.00
39.00, 50.00, 54.00, 1.00, 1.00
39.00, 65.00, 63.00, 1.00, 0.00
39.00, 76.00, 69.00, 0.50, 0.00
39.50, 74.00, 68.00, 0.25, 0.00
39.75, 73.00, 67.00, 0.25, 0.00
40.00, 50.00, 54.00, 1.00, 1.00
40.00, 57.00, 58.00, 1.00, 1.00
40.00, 65.00, 63.00, 1.00, 0.00
40.00, 71.00, 66.00, 1.00, 0.00
41.00, 45.00, 51.00, 1.00, 1.00
41.00, 57.00, 58.00, 2.00, 1.00
41.00, 64.00, 62.00, 1.00, 0.00
41.00, 73.00, 67.00, 1.00, 0.00
42.00, 50.00, 54.00, 2.00, 1.00
42.00, 66.00, 63.00, 2.00, 0.00
42.00, 76.00, 69.00, 0.50, 0.00
42.50, 74.00, 68.00, 0.25, 0.00
42.75, 73.00, 67.00, 0.25, 0.00
43.00, 56.00, 57.00, 2.00, 1.00
43.00, 71.00, 66.00, 1.00, 0.00
44.00, 49.00, 53.00, 1.00, 1.00
44.00, 61.00, 60.00, 1.00, 1.00
44.00, 65.00, 62.00, 1.00, 0.00
44.00, 73.00, 67.00, 1.00, 0.00
45.00, 54.00, 56.00, 2.00, 1.00
45.00, 62.00, 61.00, 0.33, 1.00
45.00, 66.00, 63.00, 2.00, 0.00
45.00, 71.00, 66.00, 0.33, 0.00
45.33, 61.00, 60.00, 0.33, 1.00
45.33, 69.00, 65.00, 0.33, 0.00
45.67, 59.00, 59.00, 0.33, 1.00
45.67, 68.00, 64.00, 0.33, 0.00
46.00, 57.00, 58.00, 1.00, 1.00
46.00, 66.00, 63.00, 1.00, 0.00
47.00, 66.00, 63.00, 1.33, 0.00
48.00, 37.00, 46.00, 1.00, 1.00
48.33, 68.00, 64.00, 0.33, 0.00
48.67, 66.00, 63.00, 0.33, 0.00
49.00, 49.00, 53.00, 1.00, 1.00
49.00, 56.00, 57.00, 1.00, 1.00
49.00, 59.00, 59.00, 1.00, 1.00
49.00, 65.00, 62.00, 0.50, 0.00
49.50, 66.00, 63.00, 0.50, 0.00
50.00, 49.00, 53.00, 1.00, 1.00
50.00, 53.00, 55.00, 1.00, 1.00
50.00, 59.00, 59.00, 1.00, 1.00
50.00, 68.00, 64.00, 0.75, 0.00
50.75, 62.00, 61.00, 0.25, 0.00
51.00, 42.00, 49.00, 1.00, 1.00
51.00, 61.00, 60.00, 0.50, 0.00
51.75, 66.00, 63.00, 0.25, 0.00
52.00, 54.00, 56.00, 1.00, 1.00
52.00, 61.00, 60.00, 1.00, 1.00
52.00, 69.00, 65.00, 1.00, 0.00
53.00, 54.00, 56.00, 1.00, 1.00
53.00, 61.00, 60.00, 1.00, 1.00
53.00, 66.00, 63.00, 2.00, 0.00
53.00, 69.00, 65.00, 1.33, 0.00
54.00, 40.00, 48.00, 1.00, 1.00
54.33, 71.00, 66.00, 0.33, 0.00
54.67, 69.00, 65.00, 0.33, 0.00
55.00, 52.00, 55.00, 1.00, 1.00
55.00, 59.00, 59.00, 1.00, 1.00
55.00, 64.00, 62.00, 1.00, 0.00
55.00, 68.00, 64.00, 0.50, 0.00
55.50, 69.00, 65.00, 0.50, 0.00
56.00, 52.00, 55.00, 2.00, 1.00
56.00, 62.00, 61.00, 2.00, 0.00
56.00, 71.00, 66.00, 0.75, 0.00
56.75, 66.00, 63.00, 0.25, 0.00
57.00, 45.00, 51.00, 1.00, 1.00
57.00, 64.00, 62.00, 0.50, 0.00
57.75, 69.00, 65.00, 0.25, 0.00
58.00, 57.00, 58.00, 1.00, 1.00
58.00, 61.00, 60.00, 1.00, 0.00
58.00, 73.00, 67.00, 1.00, 0.00
59.00, 57.00, 58.00, 1.00, 1.00
59.00, 64.00, 62.00, 1.00, 1.00
59.00, 73.00, 67.00, 1.33, 0.00
60.00, 57.00, 58.00, 1.00, 1.00
60.00, 63.00, 61.00, 2.00, 1.00
60.00, 66.00, 63.00, 2.00, 1.00
