ontime, MNN, MPN, duration, channel
-1.00, 68.00, 65.00, 1.00, 0.00
0.00, 39.00, 48.00, 1.00, 1.00
0.00, 67.00, 64.00, 0.75, 0.00
0.75, 65.00, 63.00, 0.25, 0.00
1.00, 51.00, 55.00, 1.00, 1.00
1.00, 55.00, 57.00, 1.00, 1.00
1.00, 61.00, 61.00, 1.00, 1.00
1.00, 63.00, 62.00, 1.50, 0.00
2.00, 51.00, 55.00, 1.00, 1.00
2.00, 55.00, 57.00, 1.00, 1.00
2.00, 61.00, 61.00, 1.00, 1.00
2.50, 73.00, 68.00, 0.50, 0.00
3.00, 44.00, 51.00, 1.00, 1.00
3.00, 72.00, 67.00, 0.50, 0.00
3.50, 68.00, 65.00, 0.50, 0.00
4.00, 51.00, 55.00, 1.00, 1.00
4.00, 56.00, 58.00, 1.00, 1.00
4.00, 60.00, 60.00, 1.00, 1.00
4.00, 77.00, 70.00, 1.50, 0.00
5.00, 51.00, 55.00, 1.00, 1.00
5.00, 56.00, 58.00, 1.00, 1.00
5.00, 60.00, 60.00, 1.00, 1.00
5.50, 75.00, 69.00, 0.50, 0.00
6.00, 51.00, 55.00, 2.00, 1.00
6.00, 58.00, 59.00, 0.75, 1.00
6.00, 61.00, 61.00, 2.00, 1.00
6.00, 67.00, 64.00, 0.75, 0.00
6.75, 56.00, 58.00, 0.25, 1.00
6.75, 65.00, 63.00, 0.25, 0.00
7.00, 55.00, 57.00, 1.00, 1.00
7.00, 63.00, 62.00, 1.00, 0.00
8.00, 51.00, 55.00, 1.00, 1.00
8.00, 73.00, 68.00, 1.00, 0.00
9.00, 44.00, 51.00, 1.00, 1.00
9.00, 72.00, 67.00, 0.50, 0.00
9.50, 70.00, 66.00, 0.50, 0.00
10.00, 51.00, 55.00, 1.00, 1.00
10.00, 56.00, 58.00, 2.00, 1.00
10.00, 60.00, 60.00, 2.00, 1.00
10.00, 68.00, 65.00, 1.50, 0.00
11.00, 52.00, 55.00, 1.00, 1.00
11.50, 67.00, 64.00, 0.50, 0.00
12.00, 37.00, 47.00, 1.00, 1.00
12.00, 65.00, 63.00, 0.50, 0.00
12.75, 68.00, 65.00, 0.25, 0.00
13.00, 53.00, 56.00, 1.00, 1.00
