ontime, MNN, MPN, duration, channel
0.00, 38.00, 47.00, 0.50, 1.00
0.00, 62.00, 61.00, 0.50, 0.00
1.00, 50.00, 54.00, 2.00, 1.00
1.00, 57.00, 58.00, 0.50, 1.00
1.00, 60.00, 60.00, 3.00, 0.00
1.00, 66.00, 63.00, 0.50, 0.00
1.50, 55.00, 57.00, 0.50, 1.00
1.50, 64.00, 62.00, 0.50, 0.00
2.00, 54.00, 56.00, 0.50, 1.00
2.00, 62.00, 61.00, 0.50, 0.00
2.50, 57.00, 58.00, 0.50, 1.00
2.50, 66.00, 63.00, 0.50, 0.00
3.00, 50.00, 54.00, 3.75, 1.00
3.00, 69.00, 65.00, 0.50, 0.00
3.75, 71.00, 66.00, 0.25, 0.00
4.00, 60.00, 60.00, 2.00, 0.00
4.00, 62.00, 61.00, 2.00, 1.00
4.00, 66.00, 63.00, 2.00, 0.00
4.00, 72.00, 67.00, 2.00, 0.00
6.00, 43.00, 50.00, 2.00, 1.00
6.00, 62.00, 61.00, 0.50, 0.00
6.00, 67.00, 64.00, 0.50, 0.00
6.00, 71.00, 66.00, 0.50, 0.00
6.75, 50.00, 54.00, 0.25, 1.00
6.75, 60.00, 60.00, 0.25, 0.00
6.75, 69.00, 65.00, 0.25, 0.00
7.00, 55.00, 57.00, 2.00, 1.00
7.00, 59.00, 59.00, 1.00, 0.00
7.00, 67.00, 64.00, 1.00, 0.00
8.00, 43.00, 50.00, 2.00, 1.00
8.00, 59.00, 59.00, 1.00, 0.00
8.00, 62.00, 61.00, 1.00, 0.00
8.00, 71.00, 66.00, 1.00, 0.00
9.00, 49.00, 53.00, 1.00, 1.00
9.00, 58.00, 58.00, 1.00, 1.00
9.00, 64.00, 62.00, 1.00, 0.00
9.00, 67.00, 64.00, 1.00, 0.00
9.00, 76.00, 69.00, 1.00, 0.00
10.00, 43.00, 50.00, 2.00, 1.00
10.00, 50.00, 54.00, 2.00, 1.00
10.00, 59.00, 59.00, 2.00, 1.00
10.00, 62.00, 61.00, 2.00, 0.00
10.00, 67.00, 64.00, 2.00, 0.00
10.00, 74.00, 68.00, 2.00, 0.00
12.00, 38.00, 47.00, 0.50, 1.00
12.00, 62.00, 61.00, 0.50, 0.00
13.00, 50.00, 54.00, 2.00, 1.00
13.00, 57.00, 58.00, 0.50, 1.00
13.00, 60.00, 60.00, 3.00, 0.00
13.00, 66.00, 63.00, 0.50, 0.00
13.50, 55.00, 57.00, 0.50, 1.00
13.50, 64.00, 62.00, 0.50, 0.00
14.00, 54.00, 56.00, 0.50, 1.00
14.00, 62.00, 61.00, 0.50, 0.00
14.50, 57.00, 58.00, 0.50, 1.00
14.50, 66.00, 63.00, 0.50, 0.00
15.00, 50.00, 54.00, 3.75, 1.00
15.00, 69.00, 65.00, 0.50, 0.00
15.75, 71.00, 66.00, 0.25, 0.00
16.00, 60.00, 60.00, 2.00, 0.00
16.00, 62.00, 61.00, 2.00, 1.00
16.00, 66.00, 63.00, 2.00, 0.00
16.00, 72.00, 67.00, 2.00, 0.00
