ontime, MNN, MPN, duration, channel
-1.00, 65.00, 63.00, 2.50, 0.00
0.00, 77.00, 70.00, 2.00, 0.00
1.50, 65.00, 63.00, 1.00, 0.00
2.00, 77.00, 70.00, 1.00, 0.00
2.50, 65.00, 63.00, 2.00, 0.00
3.00, 76.00, 69.00, 2.00, 0.00
4.50, 66.00, 63.00, 1.00, 0.00
5.00, 76.00, 69.00, 1.00, 0.00
5.50, 66.00, 63.00, 2.00, 0.00
6.00, 75.00, 69.00, 2.00, 0.00
7.50, 67.00, 64.00, 1.00, 0.00
8.00, 75.00, 69.00, 1.00, 0.00
8.50, 67.00, 64.00, 2.00, 0.00
9.00, 74.00, 68.00, 2.00, 0.00
10.50, 68.00, 64.00, 1.00, 0.00
11.00, 74.00, 68.00, 1.00, 0.00
11.50, 68.00, 64.00, 2.00, 0.00
12.00, 41.00, 49.00, 1.00, 1.00
12.00, 73.00, 68.00, 2.00, 0.00
13.00, 53.00, 56.00, 1.00, 1.00
13.00, 63.00, 62.00, 1.00, 1.00
13.50, 69.00, 65.00, 1.00, 0.00
14.00, 53.00, 56.00, 1.00, 1.00
14.00, 63.00, 62.00, 1.00, 1.00
14.00, 73.00, 68.00, 4.00, 0.00
14.50, 69.00, 65.00, 0.50, 0.00
15.00, 46.00, 52.00, 1.00, 1.00
15.00, 69.00, 65.00, 0.75, 0.00
15.75, 70.00, 66.00, 0.25, 0.00
16.00, 53.00, 56.00, 1.00, 1.00
16.00, 61.00, 61.00, 1.00, 1.00
16.00, 70.00, 66.00, 1.00, 0.00
17.00, 51.00, 55.00, 1.00, 1.00
17.00, 55.00, 57.00, 1.00, 1.00
17.00, 61.00, 61.00, 1.00, 1.00
17.00, 70.00, 66.00, 2.50, 0.00
18.00, 44.00, 51.00, 1.00, 1.00
18.00, 77.00, 70.00, 2.00, 0.00
19.00, 56.00, 58.00, 1.00, 1.00
19.00, 66.00, 64.00, 1.00, 1.00
19.50, 72.00, 67.00, 1.00, 0.00
20.00, 56.00, 58.00, 1.00, 1.00
20.00, 66.00, 64.00, 1.00, 1.00
20.00, 77.00, 70.00, 4.00, 0.00
20.50, 72.00, 67.00, 0.50, 0.00
21.00, 49.00, 54.00, 1.00, 1.00
21.00, 72.00, 67.00, 0.75, 0.00
21.75, 73.00, 68.00, 0.25, 0.00
22.00, 56.00, 58.00, 1.00, 1.00
22.00, 65.00, 63.00, 1.00, 1.00
22.00, 73.00, 68.00, 1.00, 0.00
23.00, 55.00, 57.00, 1.00, 1.00
23.00, 58.00, 59.00, 1.00, 1.00
23.00, 65.00, 63.00, 1.00, 1.00
23.00, 73.00, 68.00, 2.50, 0.00
24.00, 48.00, 53.00, 1.00, 1.00
24.00, 80.00, 72.00, 2.00, 0.00
25.00, 60.00, 60.00, 1.00, 1.00
25.00, 65.00, 63.00, 1.00, 1.00
25.00, 70.00, 66.00, 1.00, 1.00
25.50, 76.00, 69.00, 1.00, 0.00
26.00, 60.00, 60.00, 1.00, 1.00
26.00, 67.00, 64.00, 1.00, 1.00
26.00, 70.00, 66.00, 1.00, 1.00
26.00, 80.00, 72.00, 3.00, 0.00
26.50, 76.00, 69.00, 0.50, 0.00
27.00, 53.00, 56.00, 3.00, 1.00
27.00, 76.00, 69.00, 0.75, 0.00
27.75, 77.00, 70.00, 0.25, 0.00
28.00, 60.00, 60.00, 1.00, 1.00
28.00, 68.00, 65.00, 1.00, 1.00
28.00, 77.00, 70.00, 1.00, 0.00
29.00, 60.00, 60.00, 1.00, 1.00
29.00, 68.00, 65.00, 1.00, 1.00
29.00, 77.00, 70.00, 1.75, 0.00
29.00, 89.00, 77.00, 1.00, 0.00
30.00, 61.00, 61.00, 1.00, 1.00
30.00, 81.00, 72.00, 2.00, 0.00
30.00, 89.00, 77.00, 0.75, 0.00
30.75, 78.00, 71.00, 0.25, 0.00
30.75, 90.00, 78.00, 0.25, 0.00
31.00, 60.00, 60.00, 1.00, 1.00
31.00, 63.00, 62.00, 1.00, 1.00
31.00, 69.00, 65.00, 1.00, 1.00
31.00, 78.00, 71.00, 1.00, 0.00
31.00, 90.00, 78.00, 1.00, 0.00
32.00, 63.00, 62.00, 1.00, 1.00
32.00, 69.00, 65.00, 1.00, 0.00
32.00, 72.00, 67.00, 1.00, 1.00
33.00, 46.00, 52.00, 1.00, 1.00
33.00, 72.00, 67.00, 1.50, 0.00
33.00, 84.00, 74.00, 1.50, 0.00
34.00, 53.00, 56.00, 1.00, 1.00
34.00, 61.00, 61.00, 1.00, 1.00
34.50, 70.00, 66.00, 0.50, 0.00
34.50, 82.00, 73.00, 0.50, 0.00
35.00, 53.00, 56.00, 1.00, 1.00
35.00, 61.00, 61.00, 1.00, 1.00
35.00, 68.00, 65.00, 0.50, 0.00
35.50, 66.00, 64.00, 0.50, 0.00
36.00, 46.00, 52.00, 1.00, 1.00
36.00, 65.00, 63.00, 1.50, 0.00
36.00, 73.00, 68.00, 1.50, 0.00
37.00, 53.00, 56.00, 1.00, 1.00
37.00, 63.00, 62.00, 1.00, 1.00
37.50, 66.00, 64.00, 0.50, 0.00
37.50, 69.00, 65.00, 0.50, 0.00
38.00, 53.00, 56.00, 1.00, 1.00
38.00, 63.00, 62.00, 1.00, 1.00
38.00, 65.00, 63.00, 0.50, 0.00
38.00, 73.00, 68.00, 0.50, 0.00
38.50, 63.00, 62.00, 0.50, 0.00
38.50, 69.00, 65.00, 0.50, 0.00
39.00, 46.00, 52.00, 1.00, 1.00
39.00, 63.00, 62.00, 0.75, 0.00
39.00, 69.00, 65.00, 0.75, 0.00
39.75, 61.00, 61.00, 0.25, 0.00
39.75, 70.00, 66.00, 0.25, 0.00
40.00, 53.00, 56.00, 1.00, 1.00
40.00, 58.00, 59.00, 1.00, 1.00
40.00, 61.00, 61.00, 1.00, 0.00
40.00, 70.00, 66.00, 1.00, 0.00
41.00, 51.00, 55.00, 1.00, 1.00
41.00, 61.00, 61.00, 1.00, 1.00
41.00, 67.00, 64.00, 1.00, 0.00
41.00, 70.00, 66.00, 1.00, 0.00
42.00, 44.00, 51.00, 1.00, 1.00
42.00, 68.00, 65.00, 1.50, 0.00
42.00, 77.00, 70.00, 1.50, 0.00
43.00, 56.00, 58.00, 1.00, 1.00
43.00, 66.00, 64.00, 1.00, 1.00
43.50, 69.00, 66.00, 0.50, 0.00
43.50, 72.00, 67.00, 0.50, 0.00
44.00, 56.00, 58.00, 1.00, 1.00
44.00, 66.00, 64.00, 1.00, 1.00
44.00, 68.00, 65.00, 0.50, 0.00
44.00, 77.00, 70.00, 0.50, 0.00
44.50, 66.00, 64.00, 0.50, 0.00
44.50, 72.00, 67.00, 0.50, 0.00
45.00, 49.00, 54.00, 1.00, 1.00
45.00, 66.00, 64.00, 0.75, 0.00
45.00, 72.00, 67.00, 0.75, 0.00
45.75, 65.00, 63.00, 0.25, 0.00
45.75, 73.00, 68.00, 0.25, 0.00
46.00, 56.00, 58.00, 1.00, 1.00
46.00, 61.00, 61.00, 1.00, 1.00
46.00, 65.00, 63.00, 1.00, 0.00
46.00, 73.00, 68.00, 1.00, 0.00
47.00, 55.00, 57.00, 1.00, 1.00
47.00, 65.00, 63.00, 1.00, 1.00
47.00, 71.00, 66.00, 1.00, 0.00
47.00, 73.00, 68.00, 1.00, 0.00
48.00, 48.00, 53.00, 1.00, 1.00
48.00, 72.00, 67.00, 1.50, 0.00
48.00, 80.00, 72.00, 1.50, 0.00
49.00, 60.00, 60.00, 1.00, 1.00
49.00, 70.00, 66.00, 1.00, 1.00
49.50, 73.00, 68.00, 0.50, 0.00
49.50, 76.00, 69.00, 0.50, 0.00
50.00, 60.00, 60.00, 1.00, 1.00
50.00, 70.00, 66.00, 1.00, 1.00
50.00, 72.00, 67.00, 0.50, 0.00
50.00, 80.00, 72.00, 0.50, 0.00
50.50, 70.00, 66.00, 0.50, 0.00
50.50, 76.00, 69.00, 0.50, 0.00
51.00, 53.00, 56.00, 2.00, 1.00
51.00, 70.00, 66.00, 0.75, 0.00
51.00, 76.00, 69.00, 0.75, 0.00
51.75, 69.00, 65.00, 0.25, 0.00
51.75, 77.00, 70.00, 0.25, 0.00
52.00, 53.00, 56.00, 1.00, 1.00
52.00, 60.00, 60.00, 1.00, 1.00
52.00, 69.00, 65.00, 1.00, 0.00
52.00, 69.00, 65.00, 1.00, 1.00
52.00, 77.00, 70.00, 1.00, 0.00
53.00, 60.00, 60.00, 1.00, 1.00
53.00, 65.00, 63.00, 1.00, 1.00
53.00, 77.00, 70.00, 1.00, 0.00
53.00, 89.00, 77.00, 1.00, 0.00
54.00, 41.00, 49.00, 1.00, 1.00
54.00, 80.00, 72.00, 0.75, 0.00
54.00, 92.00, 79.00, 0.75, 0.00
54.75, 78.00, 71.00, 0.25, 0.00
54.75, 90.00, 78.00, 0.25, 0.00
55.00, 60.00, 60.00, 1.00, 1.00
55.00, 63.00, 62.00, 1.00, 1.00
55.00, 69.00, 65.00, 1.00, 1.00
55.00, 72.00, 67.00, 1.00, 1.00
55.00, 78.00, 71.00, 1.00, 0.00
55.00, 90.00, 78.00, 1.00, 0.00
56.00, 53.00, 56.00, 1.00, 1.00
56.00, 60.00, 60.00, 1.00, 1.00
56.00, 63.00, 62.00, 1.00, 1.00
56.00, 69.00, 65.00, 1.00, 0.00
57.00, 46.00, 52.00, 1.00, 1.00
57.00, 70.00, 66.00, 3.50, 0.00
58.00, 53.00, 56.00, 1.00, 1.00
58.00, 61.00, 61.00, 1.00, 1.00
59.00, 51.00, 55.00, 1.00, 1.00
59.00, 54.00, 57.00, 1.00, 1.00
59.00, 61.00, 61.00, 1.00, 1.00
60.00, 44.00, 51.00, 1.00, 1.00
60.75, 66.00, 64.00, 0.25, 0.00
60.75, 68.00, 65.00, 0.25, 0.00
61.00, 51.00, 55.00, 1.00, 1.00
61.00, 56.00, 58.00, 1.00, 1.00
61.00, 60.00, 60.00, 0.50, 0.00
61.50, 66.00, 64.00, 0.50, 0.00
61.50, 68.00, 65.00, 0.50, 0.00
62.00, 51.00, 55.00, 1.00, 1.00
62.00, 56.00, 58.00, 1.00, 1.00
