ontime, MNN, MPN, duration, channel
0.00, 41.00, 49.00, 0.50, 1.00
0.00, 48.00, 53.00, 4.00, 1.00
0.50, 40.00, 48.00, 0.50, 1.00
1.00, 36.00, 46.00, 2.00, 1.00
3.00, 41.00, 49.00, 3.50, 1.00
4.00, 49.00, 54.00, 1.00, 1.00
5.00, 47.00, 52.00, 1.00, 1.00
6.00, 48.00, 53.00, 4.00, 1.00
6.50, 40.00, 48.00, 0.50, 1.00
7.00, 36.00, 46.00, 2.00, 1.00
9.00, 41.00, 49.00, 3.50, 1.00
10.00, 49.00, 54.00, 1.00, 1.00
11.00, 47.00, 52.00, 1.00, 1.00
12.00, 48.00, 53.00, 12.00, 1.00
12.50, 40.00, 48.00, 0.50, 1.00
13.00, 36.00, 46.00, 2.00, 1.00
15.00, 41.00, 49.00, 1.00, 1.00
15.00, 48.00, 53.00, 3.00, 1.00
16.00, 41.00, 49.00, 0.50, 1.00
16.50, 40.00, 48.00, 0.50, 1.00
17.00, 36.00, 46.00, 1.00, 1.00
18.00, 41.00, 49.00, 0.50, 1.00
18.00, 48.00, 53.00, 3.00, 1.00
18.50, 40.00, 48.00, 0.50, 1.00
19.00, 36.00, 46.00, 1.00, 1.00
20.00, 36.00, 46.00, 1.00, 1.00
21.00, 41.00, 49.00, 0.50, 1.00
21.50, 40.00, 48.00, 0.50, 1.00
22.00, 41.00, 49.00, 0.50, 1.00
22.50, 40.00, 48.00, 0.50, 1.00
23.00, 36.00, 46.00, 0.50, 1.00
23.50, 36.00, 46.00, 0.50, 1.00
24.00, 41.00, 49.00, 1.00, 1.00
24.00, 65.00, 63.00, 0.50, 0.00
24.75, 67.00, 64.00, 0.25, 0.00
25.00, 41.00, 49.00, 1.00, 1.00
25.00, 48.00, 53.00, 1.00, 1.00
25.00, 56.00, 58.00, 1.00, 1.00
25.00, 68.00, 65.00, 0.50, 0.00
25.50, 70.00, 66.00, 0.50, 0.00
26.00, 41.00, 49.00, 1.00, 1.00
26.00, 48.00, 53.00, 1.00, 1.00
26.00, 56.00, 58.00, 1.00, 1.00
26.00, 72.00, 67.00, 0.50, 0.00
26.50, 68.00, 65.00, 0.50, 0.00
27.00, 67.00, 64.00, 0.33, 0.00
27.33, 68.00, 65.00, 0.33, 0.00
27.67, 67.00, 64.00, 0.33, 0.00
28.00, 41.00, 49.00, 1.00, 1.00
28.00, 48.00, 53.00, 1.00, 1.00
28.00, 56.00, 58.00, 1.00, 1.00
28.00, 65.00, 63.00, 1.00, 0.00
29.00, 41.00, 49.00, 1.00, 1.00
29.00, 48.00, 53.00, 1.00, 1.00
29.00, 56.00, 58.00, 1.00, 1.00
29.00, 77.00, 70.00, 1.00, 0.00
30.00, 70.00, 66.00, 0.50, 0.00
30.75, 72.00, 67.00, 0.25, 0.00
31.00, 46.00, 52.00, 1.00, 1.00
31.00, 53.00, 56.00, 1.00, 1.00
31.00, 61.00, 61.00, 1.00, 1.00
31.00, 73.00, 68.00, 0.50, 0.00
31.50, 75.00, 69.00, 0.50, 0.00
32.00, 46.00, 52.00, 1.00, 1.00
32.00, 53.00, 56.00, 1.00, 1.00
32.00, 61.00, 61.00, 1.00, 1.00
32.00, 77.00, 70.00, 0.50, 0.00
32.50, 73.00, 68.00, 0.50, 0.00
33.00, 73.00, 68.00, 0.33, 0.00
33.33, 75.00, 69.00, 0.33, 0.00
33.67, 73.00, 68.00, 0.33, 0.00
34.00, 41.00, 49.00, 1.00, 1.00
34.00, 48.00, 53.00, 1.00, 1.00
34.00, 56.00, 58.00, 1.00, 1.00
34.00, 72.00, 67.00, 1.00, 0.00
35.00, 41.00, 49.00, 1.00, 1.00
35.00, 48.00, 53.00, 1.00, 1.00
35.00, 56.00, 58.00, 1.00, 1.00
35.00, 68.00, 65.00, 1.00, 0.00
36.00, 65.00, 63.00, 0.50, 0.00
36.75, 67.00, 64.00, 0.25, 0.00
37.00, 41.00, 49.00, 1.00, 1.00
37.00, 48.00, 53.00, 1.00, 1.00
37.00, 56.00, 58.00, 1.00, 1.00
37.00, 68.00, 65.00, 0.50, 0.00
37.50, 70.00, 66.00, 0.50, 0.00
38.00, 41.00, 49.00, 1.00, 1.00
38.00, 48.00, 53.00, 1.00, 1.00
38.00, 56.00, 58.00, 1.00, 1.00
38.00, 72.00, 67.00, 0.50, 0.00
38.50, 68.00, 65.00, 0.50, 0.00
39.00, 67.00, 64.00, 0.33, 0.00
39.33, 68.00, 65.00, 0.33, 0.00
39.67, 67.00, 64.00, 0.33, 0.00
40.00, 41.00, 49.00, 1.00, 1.00
40.00, 48.00, 53.00, 1.00, 1.00
40.00, 56.00, 58.00, 1.00, 1.00
40.00, 65.00, 63.00, 1.00, 0.00
41.00, 41.00, 49.00, 1.00, 1.00
41.00, 48.00, 53.00, 1.00, 1.00
41.00, 56.00, 58.00, 1.00, 1.00
41.00, 72.00, 67.00, 1.00, 0.00
42.00, 60.00, 60.00, 0.50, 0.00
42.75, 62.00, 61.00, 0.25, 0.00
43.00, 43.00, 50.00, 1.00, 1.00
43.00, 51.00, 55.00, 1.00, 1.00
43.00, 55.00, 57.00, 1.00, 1.00
43.00, 63.00, 62.00, 0.50, 0.00
43.50, 65.00, 63.00, 0.50, 0.00
44.00, 43.00, 50.00, 1.00, 1.00
44.00, 50.00, 54.00, 1.00, 1.00
44.00, 55.00, 57.00, 1.00, 1.00
44.00, 67.00, 64.00, 0.50, 0.00
44.50, 59.00, 59.00, 0.50, 0.00
45.00, 60.00, 60.00, 1.50, 0.00
46.00, 48.00, 53.00, 1.00, 1.00
46.00, 55.00, 57.00, 1.00, 1.00
46.00, 64.00, 62.00, 1.00, 1.00
46.50, 60.00, 60.00, 0.50, 0.00
47.00, 48.00, 53.00, 1.00, 1.00
47.00, 58.00, 59.00, 1.00, 1.00
47.00, 61.00, 61.00, 0.50, 0.00
47.00, 64.00, 62.00, 1.00, 1.00
47.75, 60.00, 60.00, 0.25, 0.00
48.00, 65.00, 63.00, 0.50, 0.00
48.75, 67.00, 64.00, 0.25, 0.00
49.00, 41.00, 49.00, 1.00, 1.00
49.00, 48.00, 53.00, 1.00, 1.00
49.00, 56.00, 58.00, 1.00, 1.00
49.00, 68.00, 65.00, 0.50, 0.00
49.50, 70.00, 66.00, 0.50, 0.00
50.00, 41.00, 49.00, 1.00, 1.00
50.00, 48.00, 53.00, 1.00, 1.00
50.00, 56.00, 58.00, 1.00, 1.00
50.00, 72.00, 67.00, 0.50, 0.00
50.50, 68.00, 65.00, 0.50, 0.00
51.00, 67.00, 64.00, 0.33, 0.00
51.33, 68.00, 65.00, 0.33, 0.00
51.67, 67.00, 64.00, 0.33, 0.00
52.00, 41.00, 49.00, 1.00, 1.00
52.00, 48.00, 53.00, 1.00, 1.00
52.00, 56.00, 58.00, 1.00, 1.00
52.00, 65.00, 63.00, 1.00, 0.00
53.00, 41.00, 49.00, 1.00, 1.00
53.00, 48.00, 53.00, 1.00, 1.00
53.00, 56.00, 58.00, 1.00, 1.00
53.00, 77.00, 70.00, 1.00, 0.00
54.00, 70.00, 66.00, 0.50, 0.00
54.75, 72.00, 67.00, 0.25, 0.00
55.00, 46.00, 52.00, 1.00, 1.00
55.00, 53.00, 56.00, 1.00, 1.00
55.00, 61.00, 61.00, 1.00, 1.00
55.00, 73.00, 68.00, 0.50, 0.00
55.50, 75.00, 69.00, 0.50, 0.00
56.00, 46.00, 52.00, 1.00, 1.00
56.00, 53.00, 56.00, 1.00, 1.00
56.00, 61.00, 61.00, 1.00, 1.00
56.00, 77.00, 70.00, 0.50, 0.00
56.50, 73.00, 68.00, 0.50, 0.00
57.00, 73.00, 68.00, 0.33, 0.00
57.33, 75.00, 69.00, 0.33, 0.00
57.67, 73.00, 68.00, 0.33, 0.00
58.00, 41.00, 49.00, 1.00, 1.00
58.00, 48.00, 53.00, 1.00, 1.00
58.00, 56.00, 58.00, 1.00, 1.00
58.00, 72.00, 67.00, 1.00, 0.00
59.00, 41.00, 49.00, 1.00, 1.00
59.00, 48.00, 53.00, 1.00, 1.00
59.00, 56.00, 58.00, 1.00, 1.00
59.00, 68.00, 65.00, 1.00, 0.00
60.00, 65.00, 63.00, 0.50, 0.00
60.75, 67.00, 64.00, 0.25, 0.00
61.00, 41.00, 49.00, 1.00, 1.00
61.00, 48.00, 53.00, 1.00, 1.00
61.00, 56.00, 58.00, 1.00, 1.00
61.00, 68.00, 65.00, 0.50, 0.00
61.50, 70.00, 66.00, 0.50, 0.00
62.00, 41.00, 49.00, 1.00, 1.00
62.00, 48.00, 53.00, 1.00, 1.00
62.00, 56.00, 58.00, 1.00, 1.00
62.00, 72.00, 67.00, 0.50, 0.00
62.50, 68.00, 65.00, 0.50, 0.00
63.00, 67.00, 64.00, 0.33, 0.00
63.33, 68.00, 65.00, 0.33, 0.00
63.67, 67.00, 64.00, 0.33, 0.00
64.00, 41.00, 49.00, 1.00, 1.00
64.00, 48.00, 53.00, 1.00, 1.00
64.00, 56.00, 58.00, 1.00, 1.00
64.00, 65.00, 63.00, 1.00, 0.00
65.00, 41.00, 49.00, 1.00, 1.00
65.00, 48.00, 53.00, 1.00, 1.00
65.00, 56.00, 58.00, 1.00, 1.00
65.00, 72.00, 67.00, 1.00, 0.00
66.00, 60.00, 60.00, 0.50, 0.00
66.75, 62.00, 61.00, 0.25, 0.00
67.00, 43.00, 50.00, 1.00, 1.00
67.00, 51.00, 55.00, 1.00, 1.00
67.00, 55.00, 57.00, 1.00, 1.00
67.00, 63.00, 62.00, 0.50, 0.00
67.50, 65.00, 63.00, 0.50, 0.00
68.00, 43.00, 50.00, 1.00, 1.00
68.00, 50.00, 54.00, 1.00, 1.00
68.00, 55.00, 57.00, 1.00, 1.00
68.00, 67.00, 64.00, 0.50, 0.00
68.50, 59.00, 59.00, 0.50, 0.00
69.00, 60.00, 60.00, 2.00, 0.00
70.00, 48.00, 53.00, 3.00, 1.00
71.00, 72.00, 67.00, 1.00, 0.00
72.00, 70.00, 66.00, 0.50, 0.00
72.50, 68.00, 65.00, 0.50, 0.00
73.00, 60.00, 60.00, 1.00, 1.00
73.00, 67.00, 64.00, 1.00, 0.00
74.00, 60.00, 60.00, 1.00, 1.00
74.00, 67.00, 64.00, 0.50, 0.00
74.50, 68.00, 65.00, 0.50, 0.00
75.00, 53.00, 56.00, 1.00, 1.00
75.00, 56.00, 58.00, 1.00, 1.00
75.00, 60.00, 60.00, 1.00, 1.00
75.00, 65.00, 63.00, 0.50, 0.00
75.50, 67.00, 64.00, 0.50, 0.00
76.00, 53.00, 56.00, 1.00, 1.00
76.00, 56.00, 58.00, 1.00, 1.00
76.00, 60.00, 60.00, 1.00, 1.00
76.00, 68.00, 65.00, 1.00, 0.00
77.00, 53.00, 56.00, 1.00, 1.00
77.00, 56.00, 58.00, 1.00, 1.00
77.00, 60.00, 60.00, 1.00, 1.00
77.00, 68.00, 65.00, 0.50, 0.00
77.50, 72.00, 67.00, 0.50, 0.00
78.00, 53.00, 56.00, 1.00, 1.00
78.00, 55.00, 57.00, 1.00, 1.00
78.00, 60.00, 60.00, 1.00, 1.00
78.00, 70.00, 66.00, 0.50, 0.00
78.50, 68.00, 65.00, 0.50, 0.00
79.00, 53.00, 56.00, 1.00, 1.00
79.00, 58.00, 59.00, 1.00, 1.00
79.00, 60.00, 60.00, 1.00, 1.00
79.00, 67.00, 64.00, 0.50, 0.00
79.50, 65.00, 63.00, 0.50, 0.00
80.00, 53.00, 56.00, 1.00, 1.00
80.00, 58.00, 59.00, 1.00, 1.00
80.00, 60.00, 60.00, 1.00, 1.00
80.00, 67.00, 64.00, 0.50, 0.00
80.50, 68.00, 65.00, 0.50, 0.00
81.00, 53.00, 56.00, 1.00, 1.00
81.00, 56.00, 58.00, 1.00, 1.00
81.00, 60.00, 60.00, 1.00, 1.00
81.00, 65.00, 63.00, 0.50, 0.00
81.75, 67.00, 64.00, 0.25, 0.00
82.00, 53.00, 56.00, 1.00, 1.00
82.00, 56.00, 58.00, 1.00, 1.00
82.00, 60.00, 60.00, 1.00, 1.00
82.00, 68.00, 65.00, 0.50, 0.00
82.50, 70.00, 66.00, 0.50, 0.00
83.00, 53.00, 56.00, 1.00, 1.00
83.00, 56.00, 58.00, 1.00, 1.00
83.00, 58.00, 59.00, 1.00, 1.00
83.00, 72.00, 67.00, 0.50, 0.00
83.50, 73.00, 68.00, 0.50, 0.00
84.00, 39.00, 48.00, 1.00, 1.00
84.00, 77.00, 70.00, 0.75, 0.00
84.75, 75.00, 69.00, 0.25, 0.00
85.00, 51.00, 55.00, 1.00, 1.00
85.00, 55.00, 57.00, 1.00, 1.00
85.00, 61.00, 61.00, 1.00, 1.00
85.00, 73.00, 68.00, 1.00, 0.00
86.00, 51.00, 55.00, 1.00, 1.00
86.00, 55.00, 57.00, 1.00, 1.00
86.00, 61.00, 61.00, 1.00, 1.00
86.00, 72.00, 67.00, 0.50, 0.00
86.50, 70.00, 66.00, 0.50, 0.00
87.00, 44.00, 51.00, 1.00, 1.00
87.00, 68.00, 65.00, 0.50, 0.00
87.50, 70.00, 66.00, 0.50, 0.00
88.00, 51.00, 55.00, 1.00, 1.00
88.00, 56.00, 58.00, 1.00, 1.00
88.00, 60.00, 60.00, 1.00, 1.00
88.00, 72.00, 67.00, 1.00, 0.00
89.00, 51.00, 55.00, 1.00, 1.00
89.00, 56.00, 58.00, 1.00, 1.00
89.00, 60.00, 60.00, 1.00, 1.00
89.00, 72.00, 67.00, 0.50, 0.00
89.50, 73.00, 68.00, 0.50, 0.00
90.00, 39.00, 48.00, 1.00, 1.00
90.00, 77.00, 70.00, 0.50, 0.00
90.75, 75.00, 69.00, 0.25, 0.00
91.00, 51.00, 55.00, 1.00, 1.00
91.00, 55.00, 57.00, 1.00, 1.00
91.00, 61.00, 61.00, 1.00, 1.00
91.00, 73.00, 68.00, 1.00, 0.00
92.00, 51.00, 55.00, 1.00, 1.00
92.00, 55.00, 57.00, 1.00, 1.00
92.00, 61.00, 61.00, 1.00, 1.00
92.00, 72.00, 67.00, 0.50, 0.00
92.50, 70.00, 66.00, 0.50, 0.00
93.00, 44.00, 51.00, 1.00, 1.00
93.00, 68.00, 65.00, 0.50, 0.00
93.50, 70.00, 66.00, 0.50, 0.00
94.00, 51.00, 55.00, 0.50, 1.00
94.00, 56.00, 58.00, 1.00, 1.00
94.00, 60.00, 60.00, 1.00, 1.00
94.00, 72.00, 67.00, 2.00, 0.00
94.50, 52.00, 55.00, 0.50, 1.00
95.00, 53.00, 56.00, 1.00, 1.00
95.00, 56.00, 58.00, 1.00, 1.00
95.00, 60.00, 60.00, 1.00, 1.00
96.00, 53.00, 56.00, 1.00, 1.00
96.00, 55.00, 57.00, 1.00, 1.00
96.00, 60.00, 60.00, 1.00, 1.00
96.00, 70.00, 66.00, 0.50, 0.00
96.50, 68.00, 65.00, 0.50, 0.00
97.00, 53.00, 56.00, 1.00, 1.00
97.00, 58.00, 59.00, 1.00, 1.00
97.00, 60.00, 60.00, 1.00, 1.00
97.00, 67.00, 64.00, 1.00, 0.00
98.00, 53.00, 56.00, 1.00, 1.00
98.00, 58.00, 59.00, 1.00, 1.00
98.00, 60.00, 60.00, 1.00, 1.00
98.00, 67.00, 64.00, 0.50, 0.00
98.50, 68.00, 65.00, 0.50, 0.00
99.00, 53.00, 56.00, 1.00, 1.00
99.00, 56.00, 58.00, 1.00, 1.00
99.00, 60.00, 60.00, 1.00, 1.00
99.00, 65.00, 63.00, 0.50, 0.00
99.50, 67.00, 64.00, 0.50, 0.00
100.00, 53.00, 56.00, 1.00, 1.00
100.00, 56.00, 58.00, 1.00, 1.00
100.00, 60.00, 60.00, 1.00, 1.00
100.00, 68.00, 65.00, 1.00, 0.00
101.00, 53.00, 56.00, 1.00, 1.00
101.00, 56.00, 58.00, 1.00, 1.00
101.00, 60.00, 60.00, 1.00, 1.00
101.00, 68.00, 65.00, 0.50, 0.00
101.50, 72.00, 67.00, 0.50, 0.00
102.00, 53.00, 56.00, 1.00, 1.00
102.00, 55.00, 57.00, 1.00, 1.00
102.00, 60.00, 60.00, 1.00, 1.00
102.00, 70.00, 66.00, 0.50, 0.00
102.50, 68.00, 65.00, 0.50, 0.00
103.00, 53.00, 56.00, 1.00, 1.00
103.00, 58.00, 59.00, 1.00, 1.00
103.00, 60.00, 60.00, 1.00, 1.00
103.00, 67.00, 64.00, 0.50, 0.00
103.50, 65.00, 63.00, 0.50, 0.00
104.00, 53.00, 56.00, 1.00, 1.00
104.00, 58.00, 59.00, 1.00, 1.00
104.00, 60.00, 60.00, 1.00, 1.00
104.00, 67.00, 64.00, 0.50, 0.00
104.50, 68.00, 65.00, 0.50, 0.00
105.00, 53.00, 56.00, 1.00, 1.00
105.00, 56.00, 58.00, 1.00, 1.00
105.00, 60.00, 60.00, 1.00, 1.00
105.00, 65.00, 63.00, 0.50, 0.00
105.75, 67.00, 64.00, 0.25, 0.00
106.00, 53.00, 56.00, 1.00, 1.00
106.00, 56.00, 58.00, 1.00, 1.00
106.00, 60.00, 60.00, 1.00, 1.00
106.00, 68.00, 65.00, 0.50, 0.00
106.50, 70.00, 66.00, 0.50, 0.00
107.00, 53.00, 56.00, 1.00, 1.00
107.00, 56.00, 58.00, 1.00, 1.00
107.00, 58.00, 59.00, 1.00, 1.00
107.00, 72.00, 67.00, 0.50, 0.00
107.50, 73.00, 68.00, 0.50, 0.00
108.00, 39.00, 48.00, 1.00, 1.00
108.00, 77.00, 70.00, 0.75, 0.00
108.75, 75.00, 69.00, 0.25, 0.00
109.00, 51.00, 55.00, 1.00, 1.00
109.00, 55.00, 57.00, 1.00, 1.00
109.00, 61.00, 61.00, 1.00, 1.00
109.00, 73.00, 68.00, 1.00, 0.00
110.00, 51.00, 55.00, 1.00, 1.00
110.00, 55.00, 57.00, 1.00, 1.00
110.00, 61.00, 61.00, 1.00, 1.00
110.00, 72.00, 67.00, 0.50, 0.00
110.50, 70.00, 66.00, 0.50, 0.00
111.00, 44.00, 51.00, 1.00, 1.00
111.00, 68.00, 65.00, 0.50, 0.00
111.50, 70.00, 66.00, 0.50, 0.00
112.00, 51.00, 55.00, 1.00, 1.00
112.00, 56.00, 58.00, 1.00, 1.00
112.00, 60.00, 60.00, 1.00, 1.00
112.00, 72.00, 67.00, 1.00, 0.00
113.00, 51.00, 55.00, 1.00, 1.00
113.00, 56.00, 58.00, 1.00, 1.00
113.00, 60.00, 60.00, 1.00, 1.00
113.00, 72.00, 67.00, 0.50, 0.00
113.50, 73.00, 68.00, 0.50, 0.00
114.00, 39.00, 48.00, 1.00, 1.00
114.00, 77.00, 70.00, 0.50, 0.00
114.75, 75.00, 69.00, 0.25, 0.00
115.00, 51.00, 55.00, 1.00, 1.00
115.00, 55.00, 57.00, 1.00, 1.00
115.00, 61.00, 61.00, 1.00, 1.00
115.00, 73.00, 68.00, 1.00, 0.00
116.00, 51.00, 55.00, 1.00, 1.00
116.00, 55.00, 57.00, 1.00, 1.00
116.00, 61.00, 61.00, 1.00, 1.00
116.00, 72.00, 67.00, 0.50, 0.00
116.50, 70.00, 66.00, 0.50, 0.00
117.00, 44.00, 51.00, 1.00, 1.00
117.00, 68.00, 65.00, 0.50, 0.00
117.75, 70.00, 66.00, 0.25, 0.00
118.00, 51.00, 55.00, 1.00, 1.00
118.00, 60.00, 60.00, 1.00, 1.00
118.00, 72.00, 67.00, 1.00, 0.00
119.00, 44.00, 51.00, 1.00, 1.00
119.00, 68.00, 65.00, 0.50, 0.00
119.50, 72.00, 67.00, 0.50, 0.00
120.00, 44.00, 51.00, 3.00, 1.00
120.00, 51.00, 55.00, 1.00, 1.00
120.00, 56.00, 58.00, 1.00, 1.00
120.00, 60.00, 60.00, 1.00, 1.00
120.00, 66.00, 64.00, 0.75, 0.00
120.00, 68.00, 65.00, 0.75, 0.00
120.00, 75.00, 69.00, 0.75, 0.00
120.75, 66.00, 64.00, 0.25, 0.00
120.75, 68.00, 65.00, 0.25, 0.00
120.75, 75.00, 69.00, 0.25, 0.00
121.00, 51.00, 55.00, 1.00, 1.00
121.00, 56.00, 58.00, 1.00, 1.00
121.00, 60.00, 60.00, 1.00, 1.00
121.00, 66.00, 64.00, 1.00, 0.00
121.00, 68.00, 65.00, 1.00, 0.00
121.00, 77.00, 70.00, 1.00, 0.00
