ontime, MNN, MPN, duration, channel
1.00, 57.00, 58.00, 1.00, 1.00
1.00, 59.00, 59.00, 1.00, 1.00
1.00, 65.00, 63.00, 1.00, 1.00
2.00, 57.00, 58.00, 1.00, 1.00
2.00, 60.00, 60.00, 1.00, 1.00
2.00, 65.00, 63.00, 1.00, 1.00
3.00, 57.00, 58.00, 1.00, 1.00
3.00, 62.00, 61.00, 1.00, 1.00
3.00, 65.00, 63.00, 1.00, 1.00
4.00, 57.00, 58.00, 1.00, 1.00
4.00, 59.00, 59.00, 1.00, 1.00
4.00, 65.00, 63.00, 1.00, 1.00
5.00, 57.00, 58.00, 1.00, 1.00
5.00, 60.00, 60.00, 1.00, 1.00
5.00, 65.00, 63.00, 1.00, 1.00
6.00, 57.00, 58.00, 1.00, 1.00
6.00, 62.00, 61.00, 1.00, 1.00
6.00, 65.00, 63.00, 1.00, 1.00
7.00, 57.00, 58.00, 1.00, 1.00
7.00, 59.00, 59.00, 1.00, 1.00
7.00, 65.00, 63.00, 1.00, 1.00
8.00, 57.00, 58.00, 1.00, 1.00
8.00, 60.00, 60.00, 1.00, 1.00
8.00, 65.00, 63.00, 1.00, 1.00
9.00, 62.00, 61.00, 0.33, 0.00
9.33, 64.00, 62.00, 0.33, 0.00
9.67, 62.00, 61.00, 0.33, 0.00
10.00, 57.00, 58.00, 3.00, 1.00
10.00, 60.00, 60.00, 2.00, 1.00
10.00, 65.00, 63.00, 3.00, 1.00
12.00, 62.00, 61.00, 1.00, 1.00
12.00, 71.00, 66.00, 0.75, 0.00
12.75, 72.00, 67.00, 0.25, 0.00
13.00, 57.00, 58.00, 1.00, 1.00
13.00, 62.00, 61.00, 1.00, 1.00
13.00, 65.00, 63.00, 1.00, 1.00
13.00, 74.00, 68.00, 1.00, 0.00
14.00, 57.00, 58.00, 1.00, 1.00
14.00, 62.00, 61.00, 1.00, 1.00
14.00, 65.00, 63.00, 1.00, 1.00
14.00, 69.00, 65.00, 1.00, 0.00
15.00, 57.00, 58.00, 1.00, 1.00
15.00, 60.00, 60.00, 1.00, 1.00
15.00, 65.00, 63.00, 1.00, 1.00
15.00, 72.00, 67.00, 2.00, 0.00
16.00, 57.00, 58.00, 1.00, 1.00
16.00, 60.00, 60.00, 1.00, 1.00
16.00, 65.00, 63.00, 1.00, 1.00
17.00, 57.00, 58.00, 1.00, 1.00
17.00, 60.00, 60.00, 1.00, 1.00
17.00, 65.00, 63.00, 1.00, 1.00
17.00, 71.00, 66.00, 0.50, 0.00
17.50, 72.00, 67.00, 0.50, 0.00
18.00, 55.00, 57.00, 1.00, 1.00
18.00, 60.00, 60.00, 1.00, 1.00
18.00, 65.00, 63.00, 1.00, 1.00
18.00, 74.00, 68.00, 0.50, 0.00
18.50, 76.00, 69.00, 0.50, 0.00
19.00, 55.00, 57.00, 1.00, 1.00
19.00, 59.00, 59.00, 1.00, 1.00
19.00, 65.00, 63.00, 1.00, 1.00
19.00, 77.00, 70.00, 1.00, 0.00
20.00, 55.00, 57.00, 1.00, 1.00
20.00, 59.00, 59.00, 1.00, 1.00
20.00, 65.00, 63.00, 1.00, 1.00
20.00, 79.00, 71.00, 0.75, 0.00
20.75, 74.00, 68.00, 0.25, 0.00
21.00, 55.00, 57.00, 1.00, 1.00
21.00, 59.00, 59.00, 1.00, 1.00
21.00, 64.00, 62.00, 1.00, 1.00
21.00, 76.00, 69.00, 3.00, 0.00
22.00, 55.00, 57.00, 1.00, 1.00
22.00, 59.00, 59.00, 1.00, 1.00
22.00, 64.00, 62.00, 1.00, 1.00
23.00, 55.00, 57.00, 1.00, 1.00
