ontime, MNN, MPN, duration, channel
-1.00, 67.00, 64.00, 1.00, 0.00
0.00, 48.00, 53.00, 3.00, 1.00
0.00, 76.00, 69.00, 1.50, 0.00
1.00, 55.00, 57.00, 1.00, 1.00
1.00, 64.00, 62.00, 1.00, 1.00
1.50, 75.00, 68.00, 0.50, 0.00
2.00, 55.00, 57.00, 1.00, 1.00
2.00, 64.00, 62.00, 1.00, 1.00
2.00, 77.00, 70.00, 0.50, 0.00
2.50, 76.00, 69.00, 0.50, 0.00
3.00, 48.00, 53.00, 3.00, 1.00
3.00, 74.00, 68.00, 0.50, 0.00
3.50, 73.00, 67.00, 0.50, 0.00
4.00, 54.00, 56.00, 1.00, 1.00
4.00, 57.00, 58.00, 1.00, 1.00
4.00, 62.00, 61.00, 1.00, 1.00
4.00, 76.00, 69.00, 1.00, 0.00
5.00, 54.00, 56.00, 1.00, 1.00
5.00, 57.00, 58.00, 1.00, 1.00
5.00, 62.00, 61.00, 1.00, 1.00
5.00, 74.00, 68.00, 1.00, 0.00
6.00, 48.00, 53.00, 3.00, 1.00
6.00, 74.00, 68.00, 1.50, 0.00
7.00, 53.00, 56.00, 1.00, 1.00
7.00, 56.00, 58.00, 1.00, 1.00
7.00, 59.00, 59.00, 1.00, 1.00
7.00, 62.00, 61.00, 1.00, 1.00
7.50, 73.00, 67.00, 0.50, 0.00
8.00, 53.00, 56.00, 1.00, 1.00
8.00, 56.00, 58.00, 1.00, 1.00
8.00, 59.00, 59.00, 1.00, 1.00
8.00, 62.00, 61.00, 1.00, 1.00
8.00, 76.00, 69.00, 0.50, 0.00
8.50, 74.00, 68.00, 0.50, 0.00
9.00, 48.00, 53.00, 3.00, 1.00
9.00, 72.00, 67.00, 0.50, 0.00
9.75, 71.00, 66.00, 0.25, 0.00
10.00, 52.00, 55.00, 1.00, 1.00
10.00, 55.00, 57.00, 1.00, 1.00
10.00, 60.00, 60.00, 1.00, 1.00
10.00, 74.00, 68.00, 1.00, 0.00
11.00, 52.00, 55.00, 1.00, 1.00
11.00, 55.00, 57.00, 1.00, 1.00
11.00, 60.00, 60.00, 1.00, 1.00
11.00, 72.00, 67.00, 1.00, 0.00
12.00, 42.00, 49.00, 1.00, 1.00
12.00, 69.00, 65.00, 1.50, 0.00
13.00, 50.00, 54.00, 1.00, 1.00
13.00, 57.00, 58.00, 1.00, 1.00
13.00, 60.00, 60.00, 1.00, 1.00
13.50, 68.00, 64.00, 0.50, 0.00
14.00, 71.00, 66.00, 0.50, 0.00
14.50, 69.00, 65.00, 0.50, 0.00
15.00, 43.00, 50.00, 1.00, 1.00
15.00, 67.00, 64.00, 0.50, 0.00
15.75, 72.00, 67.00, 0.25, 0.00
16.00, 52.00, 55.00, 1.00, 1.00
16.00, 55.00, 57.00, 1.00, 1.00
16.00, 60.00, 60.00, 1.00, 1.00
16.00, 76.00, 69.00, 2.50, 0.00
17.00, 52.00, 55.00, 1.00, 1.00
17.00, 55.00, 57.00, 1.00, 1.00
17.00, 60.00, 60.00, 1.00, 1.00
18.00, 43.00, 50.00, 1.00, 1.00
18.50, 74.00, 68.00, 0.50, 0.00
19.00, 53.00, 56.00, 1.00, 1.00
19.00, 55.00, 57.00, 1.00, 1.00
19.00, 59.00, 59.00, 1.00, 1.00
19.00, 73.00, 67.00, 0.50, 0.00
19.50, 74.00, 68.00, 0.50, 0.00
20.00, 53.00, 56.00, 1.00, 1.00
20.00, 55.00, 57.00, 1.00, 1.00
20.00, 59.00, 59.00, 1.00, 1.00
20.00, 76.00, 69.00, 0.50, 0.00
20.50, 77.00, 70.00, 0.50, 0.00
21.00, 48.00, 53.00, 3.00, 1.00
21.00, 81.00, 72.00, 2.00, 0.00
22.00, 54.00, 56.00, 1.00, 1.00
22.00, 63.00, 61.00, 1.00, 1.00
23.00, 55.00, 57.00, 1.00, 1.00
23.00, 64.00, 62.00, 1.00, 1.00
23.00, 79.00, 71.00, 1.00, 0.00
24.00, 48.00, 53.00, 3.00, 1.00
24.00, 67.00, 64.00, 1.50, 0.00
24.00, 76.00, 69.00, 1.50, 0.00
25.00, 55.00, 57.00, 1.00, 1.00
25.00, 64.00, 62.00, 1.00, 1.00
25.50, 66.00, 63.00, 0.50, 0.00
25.50, 75.00, 68.00, 0.50, 0.00
26.00, 55.00, 57.00, 1.00, 1.00
26.00, 64.00, 62.00, 1.00, 1.00
26.00, 69.00, 65.00, 0.50, 0.00
26.00, 77.00, 70.00, 0.50, 0.00
26.50, 67.00, 64.00, 0.50, 0.00
26.50, 76.00, 69.00, 0.50, 0.00
27.00, 48.00, 53.00, 3.00, 1.00
27.00, 66.00, 63.00, 0.50, 0.00
27.00, 74.00, 68.00, 0.50, 0.00
27.50, 65.00, 62.00, 0.50, 0.00
27.50, 73.00, 67.00, 0.50, 0.00
28.00, 54.00, 56.00, 1.00, 1.00
28.00, 57.00, 58.00, 1.00, 1.00
28.00, 62.00, 61.00, 1.00, 1.00
28.00, 67.00, 64.00, 1.00, 0.00
28.00, 76.00, 69.00, 1.00, 0.00
29.00, 54.00, 56.00, 1.00, 1.00
29.00, 57.00, 58.00, 1.00, 1.00
29.00, 62.00, 61.00, 1.00, 1.00
29.00, 66.00, 63.00, 1.00, 0.00
29.00, 74.00, 68.00, 1.00, 0.00
30.00, 48.00, 53.00, 3.00, 1.00
30.00, 65.00, 63.00, 1.50, 0.00
30.00, 74.00, 68.00, 1.50, 0.00
31.00, 53.00, 56.00, 1.00, 1.00
31.00, 56.00, 58.00, 1.00, 1.00
31.00, 59.00, 59.00, 1.00, 1.00
31.00, 62.00, 61.00, 1.00, 1.00
31.50, 64.00, 62.00, 0.50, 0.00
31.50, 73.00, 67.00, 0.50, 0.00
32.00, 53.00, 56.00, 1.00, 1.00
32.00, 56.00, 58.00, 1.00, 1.00
32.00, 59.00, 59.00, 1.00, 1.00
32.00, 62.00, 61.00, 1.00, 1.00
32.00, 67.00, 64.00, 0.50, 0.00
32.00, 76.00, 69.00, 0.50, 0.00
32.50, 65.00, 63.00, 0.50, 0.00
32.50, 74.00, 68.00, 0.50, 0.00
33.00, 48.00, 53.00, 3.00, 1.00
33.00, 64.00, 62.00, 0.50, 0.00
