ontime, MNN, MPN, duration, channel
-1.00, 64.00, 62.00, 0.50, 0.00
-0.50, 69.00, 65.00, 0.50, 0.00
0.00, 49.00, 53.00, 1.00, 1.00
0.00, 68.00, 64.00, 1.00, 0.00
1.00, 56.00, 57.00, 1.00, 1.00
1.00, 61.00, 60.00, 1.00, 1.00
1.00, 64.00, 62.00, 1.00, 1.00
1.00, 73.00, 67.00, 1.50, 0.00
2.00, 56.00, 57.00, 1.00, 1.00
2.00, 61.00, 60.00, 1.00, 1.00
2.00, 64.00, 62.00, 1.00, 1.00
2.50, 75.00, 68.00, 0.50, 0.00
3.00, 51.00, 54.00, 1.00, 1.00
3.00, 73.00, 67.00, 0.50, 0.00
3.50, 72.00, 66.00, 0.50, 0.00
4.00, 56.00, 57.00, 1.00, 1.00
4.00, 60.00, 59.00, 1.00, 1.00
4.00, 66.00, 63.00, 1.00, 1.00
4.00, 75.00, 68.00, 1.00, 0.00
5.00, 56.00, 57.00, 1.00, 1.00
5.00, 60.00, 59.00, 1.00, 1.00
5.00, 66.00, 63.00, 1.00, 1.00
6.00, 48.00, 52.00, 1.00, 1.00
7.00, 56.00, 57.00, 1.00, 1.00
7.00, 63.00, 61.00, 1.00, 1.00
7.00, 66.00, 63.00, 1.00, 1.00
7.00, 75.00, 68.00, 1.50, 0.00
8.00, 56.00, 57.00, 1.00, 1.00
8.00, 63.00, 61.00, 1.00, 1.00
8.00, 66.00, 63.00, 1.00, 1.00
8.50, 76.00, 69.00, 0.50, 0.00
9.00, 49.00, 53.00, 1.00, 1.00
9.00, 75.00, 68.00, 0.50, 0.00
9.50, 73.00, 67.00, 0.50, 0.00
10.00, 56.00, 57.00, 1.00, 1.00
10.00, 61.00, 60.00, 1.00, 1.00
10.00, 64.00, 62.00, 1.00, 1.00
10.00, 76.00, 69.00, 1.00, 0.00
11.00, 56.00, 57.00, 1.00, 1.00
11.00, 61.00, 60.00, 1.00, 1.00
11.00, 64.00, 62.00, 1.00, 1.00
12.00, 52.00, 55.00, 1.00, 1.00
13.00, 56.00, 57.00, 1.00, 1.00
13.00, 61.00, 60.00, 1.00, 1.00
13.00, 68.00, 64.00, 1.00, 1.00
13.00, 80.00, 71.00, 1.50, 0.00
14.00, 56.00, 57.00, 1.00, 1.00
14.00, 61.00, 60.00, 1.00, 1.00
14.00, 68.00, 64.00, 1.00, 1.00
14.50, 81.00, 72.00, 0.50, 0.00
15.00, 51.00, 54.00, 1.00, 1.00
15.00, 80.00, 71.00, 0.50, 0.00
15.50, 79.00, 70.00, 0.50, 0.00
16.00, 58.00, 58.00, 1.00, 1.00
16.00, 61.00, 60.00, 1.00, 1.00
16.00, 67.00, 63.00, 1.00, 1.00
16.00, 75.00, 68.00, 1.50, 0.00
17.00, 58.00, 58.00, 1.00, 1.00
17.00, 61.00, 60.00, 1.00, 1.00
17.00, 67.00, 63.00, 1.00, 1.00
17.50, 76.00, 69.00, 0.50, 0.00
18.00, 44.00, 50.00, 1.00, 1.00
18.00, 78.00, 70.00, 1.00, 0.00
19.00, 56.00, 57.00, 1.00, 1.00
19.00, 60.00, 59.00, 1.00, 1.00
19.00, 66.00, 63.00, 1.00, 1.00
19.00, 80.00, 71.00, 1.50, 0.00
20.00, 56.00, 57.00, 1.00, 1.00
20.00, 60.00, 59.00, 1.00, 1.00
20.00, 66.00, 63.00, 1.00, 1.00
20.50, 78.00, 70.00, 0.50, 0.00
21.00, 49.00, 53.00, 1.00, 1.00
21.00, 76.00, 69.00, 0.50, 0.00
21.50, 75.00, 68.00, 0.50, 0.00
22.00, 56.00, 57.00, 1.00, 1.00
22.00, 61.00, 60.00, 1.00, 1.00
22.00, 64.00, 62.00, 1.00, 1.00
22.00, 73.00, 67.00, 1.00, 0.00
23.00, 55.00, 56.00, 1.00, 1.00
23.00, 61.00, 60.00, 1.00, 1.00
23.00, 64.00, 62.00, 1.00, 1.00
23.00, 71.00, 66.00, 0.50, 0.00
23.50, 69.00, 65.00, 0.50, 0.00
24.00, 49.00, 53.00, 1.00, 1.00
24.00, 68.00, 64.00, 1.00, 0.00
25.00, 56.00, 57.00, 1.00, 1.00
25.00, 61.00, 60.00, 1.00, 1.00
25.00, 64.00, 62.00, 1.00, 1.00
25.00, 73.00, 67.00, 1.50, 0.00
26.00, 56.00, 57.00, 1.00, 1.00
26.00, 61.00, 60.00, 1.00, 1.00
26.00, 64.00, 62.00, 1.00, 1.00
26.50, 75.00, 68.00, 0.50, 0.00
27.00, 51.00, 54.00, 1.00, 1.00
27.00, 73.00, 67.00, 0.50, 0.00
27.50, 72.00, 66.00, 0.50, 0.00
28.00, 56.00, 57.00, 1.00, 1.00
28.00, 60.00, 59.00, 1.00, 1.00
28.00, 66.00, 63.00, 1.00, 1.00
28.00, 75.00, 68.00, 1.00, 0.00
29.00, 56.00, 57.00, 1.00, 1.00
29.00, 60.00, 59.00, 1.00, 1.00
29.00, 66.00, 63.00, 1.00, 1.00
30.00, 48.00, 52.00, 1.00, 1.00
31.00, 56.00, 57.00, 1.00, 1.00
31.00, 63.00, 61.00, 1.00, 1.00
31.00, 66.00, 63.00, 1.00, 1.00
31.00, 75.00, 68.00, 1.50, 0.00
32.00, 56.00, 57.00, 1.00, 1.00
32.00, 63.00, 61.00, 1.00, 1.00
32.00, 66.00, 63.00, 1.00, 1.00
32.50, 76.00, 69.00, 0.50, 0.00
33.00, 49.00, 53.00, 1.00, 1.00
33.00, 75.00, 68.00, 0.50, 0.00
33.50, 73.00, 67.00, 0.50, 0.00
34.00, 56.00, 57.00, 1.00, 1.00
34.00, 64.00, 62.00, 1.00, 1.00
34.00, 76.00, 69.00, 2.00, 0.00
35.00, 54.00, 56.00, 1.00, 1.00
35.00, 58.00, 58.00, 1.00, 1.00
35.00, 64.00, 62.00, 1.00, 1.00
36.00, 47.00, 52.00, 1.00, 1.00
36.00, 71.00, 66.00, 1.00, 0.00
37.00, 56.00, 57.00, 1.00, 1.00
37.00, 59.00, 59.00, 1.00, 1.00
37.00, 64.00, 62.00, 1.00, 1.00
37.00, 83.00, 73.00, 1.50, 0.00
38.00, 56.00, 57.00, 1.00, 1.00
38.00, 59.00, 59.00, 1.00, 1.00
38.00, 64.00, 62.00, 1.00, 1.00
38.50, 85.00, 74.00, 0.50, 0.00
39.00, 47.00, 52.00, 1.00, 1.00
39.00, 83.00, 73.00, 0.50, 0.00
39.50, 82.00, 72.00, 0.50, 0.00
40.00, 54.00, 56.00, 1.00, 1.00
40.00, 61.00, 60.00, 1.00, 1.00
40.00, 64.00, 62.00, 1.00, 1.00
40.00, 78.00, 70.00, 1.50, 0.00
41.00, 54.00, 56.00, 1.00, 1.00
41.00, 61.00, 60.00, 1.00, 1.00
41.00, 64.00, 62.00, 1.00, 1.00
41.50, 80.00, 71.00, 0.50, 0.00
42.00, 35.00, 45.00, 1.00, 1.00
42.00, 81.00, 72.00, 1.00, 0.00
43.00, 54.00, 56.00, 1.00, 1.00
43.00, 59.00, 59.00, 1.00, 1.00
43.00, 63.00, 61.00, 1.00, 1.00
43.00, 83.00, 73.00, 1.50, 0.00
44.00, 54.00, 56.00, 1.00, 1.00
44.00, 59.00, 59.00, 1.00, 1.00
44.00, 63.00, 61.00, 1.00, 1.00
44.50, 81.00, 72.00, 0.50, 0.00
45.00, 40.00, 48.00, 1.00, 1.00
45.00, 80.00, 71.00, 0.50, 0.00
45.50, 75.00, 68.00, 0.50, 0.00
46.00, 56.00, 57.00, 1.00, 1.00
46.00, 59.00, 59.00, 1.00, 1.00
46.00, 64.00, 62.00, 1.00, 1.00
46.00, 76.00, 69.00, 0.50, 0.00
46.50, 75.00, 68.00, 0.50, 0.00
47.00, 76.00, 69.00, 0.50, 0.00
47.50, 78.00, 70.00, 0.50, 0.00
48.00, 48.00, 52.00, 1.00, 1.00
48.00, 80.00, 71.00, 1.50, 0.00
49.00, 56.00, 57.00, 1.00, 1.00
49.00, 63.00, 61.00, 1.00, 1.00
49.00, 66.00, 63.00, 1.00, 1.00
49.50, 75.00, 68.00, 0.50, 0.00
50.00, 80.00, 71.00, 0.50, 0.00
50.50, 78.00, 70.00, 0.50, 0.00
51.00, 49.00, 53.00, 1.00, 1.00
51.00, 76.00, 69.00, 1.00, 0.00
52.00, 56.00, 57.00, 1.00, 1.00
52.00, 61.00, 60.00, 1.00, 1.00
52.00, 64.00, 62.00, 1.00, 1.00
52.00, 72.00, 66.00, 0.50, 0.00
52.50, 75.00, 68.00, 0.50, 0.00
53.00, 73.00, 67.00, 0.50, 0.00
53.50, 71.00, 66.00, 0.50, 0.00
54.00, 37.00, 46.00, 1.00, 1.00
54.00, 69.00, 65.00, 0.50, 0.00
54.75, 69.00, 65.00, 0.25, 0.00
55.00, 55.00, 56.00, 1.00, 1.00
55.00, 61.00, 60.00, 1.00, 1.00
55.00, 64.00, 62.00, 1.00, 1.00
55.00, 69.00, 65.00, 1.00, 0.00
56.00, 55.00, 56.00, 1.00, 1.00
56.00, 61.00, 60.00, 1.00, 1.00
56.00, 64.00, 62.00, 1.00, 1.00
56.00, 69.00, 65.00, 1.00, 0.00
57.00, 49.00, 53.00, 1.00, 1.00
57.00, 68.00, 64.00, 0.50, 0.00
57.50, 73.00, 67.00, 0.50, 0.00
58.00, 56.00, 57.00, 1.00, 1.00
58.00, 61.00, 60.00, 1.00, 1.00
58.00, 64.00, 62.00, 1.00, 1.00
58.00, 75.00, 68.00, 0.50, 0.00
58.50, 76.00, 69.00, 0.50, 0.00
59.00, 80.00, 71.00, 0.50, 0.00
59.50, 85.00, 74.00, 0.50, 0.00
60.00, 48.00, 52.00, 1.00, 1.00
60.00, 80.00, 71.00, 1.50, 0.00
61.00, 56.00, 57.00, 1.00, 1.00
61.00, 63.00, 61.00, 1.00, 1.00
61.50, 75.00, 68.00, 0.50, 0.00
62.00, 80.00, 71.00, 0.50, 0.00
62.50, 78.00, 70.00, 0.50, 0.00
63.00, 37.00, 46.00, 1.00, 1.00
63.00, 76.00, 69.00, 1.00, 0.00
64.00, 56.00, 57.00, 1.00, 1.00
64.00, 64.00, 62.00, 1.00, 1.00
64.00, 72.00, 66.00, 0.50, 0.00
64.50, 75.00, 68.00, 0.50, 0.00
65.00, 56.00, 57.00, 1.00, 1.00
65.00, 58.00, 58.00, 1.00, 1.00
65.00, 64.00, 62.00, 1.00, 1.00
65.00, 73.00, 67.00, 0.50, 0.00
65.50, 70.00, 65.00, 0.50, 0.00
66.00, 39.00, 47.00, 1.00, 1.00
66.00, 63.00, 61.00, 0.50, 0.00
66.50, 64.00, 62.00, 0.50, 0.00
67.00, 51.00, 54.00, 1.00, 1.00
67.00, 59.00, 59.00, 1.00, 1.00
67.00, 63.00, 61.00, 0.50, 0.00
67.50, 62.00, 60.00, 0.50, 0.00
68.00, 51.00, 54.00, 1.00, 1.00
68.00, 55.00, 56.00, 1.00, 1.00
68.00, 61.00, 60.00, 1.00, 1.00
68.00, 63.00, 61.00, 0.50, 0.00
68.50, 71.00, 66.00, 0.50, 0.00
69.00, 44.00, 50.00, 1.00, 1.00
69.00, 68.00, 64.00, 0.50, 0.00
69.50, 56.00, 57.00, 0.50, 0.00
70.00, 50.00, 53.00, 0.50, 1.00
70.00, 59.00, 59.00, 1.00, 1.00
70.00, 68.00, 64.00, 2.00, 0.00
70.50, 52.00, 55.00, 0.50, 1.00
71.00, 51.00, 54.00, 0.50, 1.00
71.50, 47.00, 52.00, 0.50, 1.00
72.00, 44.00, 50.00, 1.00, 1.00
72.00, 80.00, 71.00, 1.50, 0.00
73.00, 51.00, 54.00, 1.00, 1.00
73.00, 60.00, 59.00, 1.00, 1.00
73.00, 66.00, 63.00, 1.00, 1.00
73.50, 75.00, 68.00, 0.50, 0.00
74.00, 80.00, 71.00, 0.50, 0.00
74.50, 78.00, 70.00, 0.50, 0.00
75.00, 49.00, 53.00, 1.00, 1.00
75.00, 76.00, 69.00, 1.00, 0.00
76.00, 56.00, 57.00, 1.00, 1.00
76.00, 61.00, 60.00, 1.00, 1.00
76.00, 64.00, 62.00, 1.00, 1.00
76.00, 72.00, 66.00, 0.50, 0.00
76.50, 75.00, 68.00, 0.50, 0.00
77.00, 73.00, 67.00, 0.50, 0.00
77.50, 71.00, 66.00, 0.50, 0.00
78.00, 37.00, 46.00, 1.00, 1.00
78.00, 69.00, 65.00, 0.50, 0.00
78.75, 69.00, 65.00, 0.25, 0.00
79.00, 55.00, 56.00, 1.00, 1.00
79.00, 64.00, 62.00, 1.00, 1.00
79.00, 69.00, 65.00, 1.00, 0.00
80.00, 55.00, 56.00, 1.00, 1.00
80.00, 64.00, 62.00, 1.00, 1.00
80.00, 69.00, 65.00, 1.00, 0.00
81.00, 49.00, 53.00, 1.00, 1.00
81.00, 68.00, 64.00, 0.50, 0.00
81.50, 73.00, 67.00, 0.50, 0.00
82.00, 56.00, 57.00, 1.00, 1.00
82.00, 64.00, 62.00, 1.00, 1.00
82.00, 75.00, 68.00, 0.50, 0.00
82.50, 76.00, 69.00, 0.50, 0.00
83.00, 49.00, 53.00, 1.00, 1.00
83.00, 80.00, 71.00, 0.50, 0.00
83.50, 85.00, 74.00, 0.50, 0.00
84.00, 48.00, 52.00, 1.00, 1.00
84.00, 80.00, 71.00, 1.50, 0.00
85.00, 51.00, 54.00, 1.00, 1.00
85.00, 56.00, 57.00, 1.00, 1.00
85.00, 63.00, 61.00, 1.00, 1.00
